,EXEC,MEM,PhysIPC%,FREQ,L2MISS,L2MPI,INSTnom%,IPC,INST,L3MISS,L3MPI,L3HIT,GT,Pred
412,0.2418954026886931,0.6350615549867696,0.5220053578258708,0.38991036751517777,0.01322265734263798,0.02137254901960784,0.24205218649617866,0.5221201683880597,0.6405226291963739,0.34651018099657827,0.1292128631604511,0.681846153846,1.06330034359,1.0693214462291163
150,0.4627386196769457,0.011447368421046485,0.5982587064676617,0.5987689572340742,0.03929545454541882,0.03214285714285714,0.4633303938859493,0.5982587064676617,0.5144759976415372,0.014597426470598968,0.002607359723178321,0.99525,1.03407146208,1.0200319556448147
1190,0.24654919236417036,0.7343716433938055,0.5088557213930348,0.42282168424998423,0.017346636363620598,0.025971988795518205,0.24647266313932975,0.508407960199005,0.6843686781067726,0.43144852941208195,0.15282564612417116,0.6622,1.10286090281,1.097243157980376
1094,0.9924131179662261,0.009232008592905893,0.8489220563850748,0.9043876381554249,0.004403636363632361,0.0016853408029887955,0.9927983539094648,0.8482587064676618,0.3616098621550144,0.007415441176483395,0.0006210845415082935,0.969333333333,1.20851562345,1.144924607676486
774,0.03314814977973569,0.694199785177393,0.26833167495820903,0.06442232400771783,0.003804818181814723,0.15633986928095236,0.033177376053350964,0.2681923714761194,0.7709549184478235,0.12992485294134554,0.8048441680731525,0.612266666667,1.09676805939,1.071119827930328
486,0.2932452276064611,0.005152685284637405,0.5053731343283583,0.44920520911809514,0.6344545454539687,0.830532212885154,0.2936507936507936,0.5059701492537314,0.6078807785513696,0.0049122794117683185,0.0014075259938303602,1.0,1.01960667646,1.0188434618855198
28,0.8516886930983848,0.004208780880771102,0.8829601990049752,0.7463910606627896,0.2453181818179588,0.10833333333333332,0.8522560258671367,0.8824626865671642,0.3477151723950703,0.004722518382356414,0.0004562612696106149,0.999875,1.05639448604,1.0761484070311171
1052,0.24596182085168872,0.67314715359792,0.5199004975124378,0.4104865297661922,0.014782090909077472,0.023352941176470583,0.246031746031746,0.5199004975124378,0.6637838207299444,0.3790808823532199,0.14369401706501697,0.6537,1.07572895787,1.0805301515824661
879,0.45365271659324524,0.005522287862510461,0.5883084577114429,0.5969129733418369,0.07417613636356894,0.06257002801120448,0.45377718988830096,0.5870646766169154,0.522409087244986,0.004878584558827117,0.0008974205580165745,0.99925,1.02674921502,1.0234305994655293
284,0.2631240822320118,0.7379162191188304,0.48917910447761204,0.5241012975694531,0.022006249999979997,0.030003501400560222,0.2634479717813051,0.4889925373134329,0.7893410001202598,0.5992003676474995,0.1911708037722885,0.610375,1.10851444161,1.1183845077323038
1194,0.38017621145374453,0.0058293770139603495,0.4714427860696518,0.6239532309718163,0.9688636363627556,0.9767507002801119,0.3805114638447971,0.471542288557214,0.6515312392378769,0.0050168382352978064,0.001112103492243885,1.0,1.03970462104,1.0329094985778446
573,0.9928210148458151,0.006251879699239393,0.8412382531781095,0.9123191932510902,0.006869191919189212,0.0026355431061316523,0.9923900973280422,0.8413488114975126,0.3648376576670288,0.00468872549020933,0.0003903390760363229,0.9866666666670001,1.26656404822,1.142266831357765
1040,0.08009344546769458,0.7077873254561184,0.4896426956129354,0.14040063882951728,0.003951962809928226,0.03288006111540616,0.08013735235964138,0.48928086838557217,0.6968375456377413,0.050796858288787355,0.0898065775975152,0.784272727273,1.09880758303,1.1460970342331973
628,0.38546255506607935,0.014105800214815197,0.9935323383084578,0.29981278259216876,0.003286818181815194,0.003207282913165266,0.3858024691358024,0.992537313432836,0.3091428519850925,0.012738970588244662,0.0027386348954873403,0.9495,1.03260173765,1.0198813886235532
1100,0.2966226138032306,0.007103974221263639,0.5116417910447761,0.44886256593798973,0.5975454545449114,0.7731092436974789,0.29659024103468545,0.5124378109452737,0.6005612328348829,0.007610294117652655,0.0021601703150687357,0.9998,1.02027149227,1.0234334376807515
69,0.2623243129853157,0.019062452048480637,0.6744847192606965,0.30136283507343453,0.003121363636360799,0.004477791116442577,0.2628705803306878,0.6744847192587067,0.455270829412185,0.009838235294124881,0.0031054735303039194,0.9581428571430001,1.02145560263,1.0243321339972857
406,0.45025697503671075,0.0046581632653089925,0.5828358208955224,0.5977219919611494,0.10786363636353831,0.0904995331464986,0.45059278855526147,0.5829187396368161,0.5277592029891292,0.004600183823540147,0.0008474541679045776,0.9996666666670001,1.01929126417,1.028048060701574
17,0.3744493392070485,0.00591400375939532,0.47101990049751247,0.6154728122642092,0.9664772727263942,0.9838935574229692,0.37496325690770127,0.47101990049751247,0.6523187463923898,0.00638492647059293,0.00144509417322286,1.0,1.04965201774,1.0314386649527885
26,0.2465328764889868,0.6938775510205726,0.46113875069054727,0.47881211797657275,0.016439393939389604,0.022505446623081224,0.2467502776146384,0.4606965174129353,0.7715564661550945,0.35720588235246853,0.11566445534161451,0.644555555556,1.07398742061,1.0777783939328225
828,0.36423708450146847,0.004107753149101983,0.9402080506557214,0.29976086695933857,0.0017019834710725436,0.0017593582887703082,0.36449147560258666,0.9402985074626866,0.3267674353444643,0.003840441176473412,0.0008778069023748017,0.971636363636,1.0207723552399999,1.0189761665274422
1148,0.26190476190455214,0.019055547030827576,0.6740582800288557,0.300383854559011,0.0027768181818147485,0.004045618247310923,0.2620307382216343,0.6744847192587067,0.4557126865014027,0.009501050420168751,0.0030335085113341086,0.9531428571430001,1.02186718731,1.023257018487548
643,0.9765051395007344,0.004935123523084889,0.8216915422885572,0.9206441534789618,0.00800545454544727,0.0031202614378991592,0.9781501077792474,0.8215588723034827,0.37373433357861896,0.00434852941176055,0.00036922120549930847,0.9902,1.15874661718,1.1380004641736359
1297,0.2408223201174743,0.6369495166494968,0.5111111111114428,0.3986082328558739,0.012952651515129136,0.02113912231560224,0.24078973152998231,0.5103648424527363,0.6571334334933959,0.34698529411790224,0.13372991130341533,0.667166666667,1.0713985388,1.0678909241544972
401,0.9109502831938329,0.005416871259776898,0.7375266524517414,0.9562192176222071,0.3425000000001432,0.1442777110843137,0.911858570589359,0.7377398720696519,0.41707571947548855,0.006017647058827955,0.0005519351030890815,0.9998571428569999,1.12881283525,1.1679947652938854
996,0.3657856093979442,0.007388829215892917,0.9424875621890548,0.300383854559011,0.0019504545454527725,0.0020252100840336133,0.36625514403292175,0.9432835820895523,0.3257627821431293,0.006158823529416294,0.0014113681939955023,0.9624,1.00600330843,1.017843880962672
1219,0.2535976505139501,0.653813104188693,0.503681592039801,0.4801573097209438,0.015182363636349836,0.023047619047619046,0.2542621987066431,0.5038805970149254,0.7515385689347661,0.450882352941508,0.16102233980980749,0.6238,1.09473631233,1.1001129717430407
1096,0.24278022515932454,0.6479591836720473,0.5038142620228856,0.40355752323479255,0.013973484848482752,0.022306255835658265,0.24274936312022335,0.5043117744626866,0.6609672135942269,0.36033088235320615,0.13619176548344492,0.6970000000000001,1.07749585755,1.0730788416572883
764,0.2613803230543319,0.02769065520949104,0.6762852404646768,0.29924171062532656,0.0035042424242286326,0.005023342670392157,0.2616108171663727,0.6766169154228857,0.4539602578688302,0.014242647058841354,0.004486835970626959,0.945666666667,1.0325258227299998,1.0219959552423257
768,0.8389623103303966,0.003923630504825497,0.8709784411273632,0.7461245604119773,0.21517575757566806,0.0979831932773109,0.8406819517930628,0.8703150912089553,0.3528539059177293,0.0034141176470539806,0.0003464526119278119,0.9998,1.0588676237299999,1.0712152758778104
757,0.3888888888891337,0.01354457572502495,0.992039800995025,0.30457171564956803,0.0032390909090879647,0.0031073762838375344,0.3894767783656672,0.9900497512437811,0.3106169746327086,0.011522058823530532,0.0024490468460049105,0.9490000000000001,1.02253620798,1.0198784916516992
1417,0.36593245227606463,0.008158968850693792,0.9444776119402987,0.29969856819880036,0.0019300909090891546,0.002015126050420168,0.36625514403292175,0.945273631840796,0.3253617050001175,0.006450000000004743,0.0014805277969680585,0.9594,1.02104311028,1.0178720108738897
1191,0.2936857562408224,0.005050841389186332,0.5067993366497513,0.4487356610565962,0.655808080807131,0.8530967942745097,0.29410804102145793,0.5069098949701494,0.606349777634312,0.005052450980386068,0.0014467543831712352,0.999888888889,1.02098684915,1.0157680864451555
949,0.9879262522466961,0.005749910490512488,0.835931453841791,0.913715146947562,0.006753232323212044,0.0026153127917843133,0.9876543209876543,0.8358208955223881,0.3674335076353146,0.00444901960784886,0.0003782432607017589,0.9877777777779999,1.16049184348,1.1405037371451714
117,0.26248164464023493,0.7600026852853061,0.46359867330049753,0.5397581873266635,0.02333333333330152,0.03156629318403362,0.26246815598618456,0.46388888888905483,0.8186102787419774,0.5747426470592462,0.1852723150001041,0.632666666667,1.11946806616,1.1134906876653075
