,EXEC,IPC,INST,MEM,FREQ,L2MPI,INSTnom%,PhysIPC%,L3MPI,L2MISS,L3MISS,L3HIT,GT,Pred
103,0.29350954478707786,0.5045273631840796,0.6091703970870181,0.002925138560685862,0.4503701959304533,0.8383193277310923,0.2936213991769547,0.5044776119402986,0.0009570152171335743,0.645527272726686,0.0034432500000025315,0.99998,1.02032065764,1.0197824857584092
508,0.14730176211453747,0.6469838308457712,0.5347570887086502,0.07631094924807932,0.19842371381276927,0.006707516339859944,0.14741328630217518,0.6471807628527363,0.022709163984398366,0.0037677367424102113,0.06933938419130099,0.9398333333329999,1.1297411988,1.1013317020134936
428,0.3625839102158591,0.93541222459204,0.32842900123136365,0.0023236650299133603,0.2999555505838793,0.0018756002400952378,0.362943016712228,0.9354655294955225,0.000568561766898342,0.0017735795454538422,0.002450892857141508,0.982642857143,1.0187217203499999,1.0177271857270858
438,0.9806550469236418,0.8157581656915424,0.3768529147619833,0.002202628076401073,0.9310459396798797,0.0040923151869467775,0.9816635994165194,0.815455332035821,0.00020379345218907158,0.010420489130440528,0.0023696691176488013,0.995076086957,1.16100424042,1.1973400922421056
63,0.3853915020602056,0.471593644679602,0.6515388402363403,0.002954263539032248,0.6326740525558245,0.9380139152436975,0.3857787639153438,0.47148130316119413,0.0005474928665412256,0.9413049853350535,0.0024824003795091785,1.0,1.02367720732,1.0429509567260355
591,0.7548197622099854,0.7820574546616916,0.3933852365266767,0.0031475520598661937,0.7477726863886156,0.10610824975154061,0.7555327985435036,0.7814155031293533,0.00037336821102973433,0.2084296187681287,0.0033763519924216,0.9998709677420001,1.03117698039,1.0423245474370326
446,0.4657366617716594,0.6030956329452737,0.5096316489376361,0.0014884572542457097,0.5977219919611494,0.033136217449859943,0.4661020024529688,0.6030710644308458,0.0003403272277962866,0.04016554433209985,0.0018748366013087313,0.999543209877,1.0198998993600001,1.0210781153548498
504,0.38562737870484587,0.9934003452139304,0.3095212473039204,0.002702314824966862,0.30045378173885745,0.0014544103355630252,0.385907449398883,0.9927708396796021,0.000620476120548306,0.001463116883115943,0.0028765156062374093,0.980510204082,1.0089683964700003,1.0207442286064188
1112,0.9845939421071955,0.8192933636915424,0.3748680482512958,0.0027521527790382644,0.9297438787625623,0.00402497270095238,0.9852130850249851,0.8195632009442787,0.0002247867991152944,0.010303482280436089,0.002619092721840161,0.9948644067799999,1.18699152686,1.1965963962370472
1120,0.2605954731886931,0.6718133470597016,0.4573568464784333,0.011290418163619073,0.30018693319125256,0.003406742007142857,0.2609519755114638,0.6718819694626866,0.0016808521641987642,0.002312413793102443,0.0051997971602464705,0.9690344827590001,1.0192468385200002,1.0231235707715547
936,0.24740656529735683,0.49049911731641793,0.7841582119713025,0.6929790547794346,0.4885060134422448,0.02803135447731092,0.24774800401969424,0.4903546782218906,0.15578593052364367,0.02188844574777556,0.5301660341562723,0.680419354839,1.1475980100299998,1.1359592598870247
1238,0.9765051395007344,0.8150912106119405,0.3771425355027322,0.0033401584317968103,0.9269449808456927,0.0037762605042016804,0.9775499706055261,0.8156301824208956,0.0002565558008417251,0.00959848484848673,0.00297904411764925,0.9935,1.1442195824299999,1.1937844810282685
1370,0.1652983580293686,0.6211103573034825,0.6102628807630739,0.18146024069909697,0.2540491517949744,0.010223389355742296,0.1653305542195767,0.6213025780189055,0.0477007112970827,0.006705320247939361,0.14680974264716679,0.893386363636,1.13898181224,1.111447569569854
715,0.38984536545888404,0.9810133008407962,0.3142145425785835,0.011928339069241713,0.3085536800432761,0.0021319670725434173,0.3901366543092298,0.9811249873084579,0.0030679532695041863,0.002314220779217896,0.016734944477813773,0.9595,1.02276486052,1.018019749400688
1434,0.2955038109221733,0.5038379530895523,0.6093448852290464,0.006153521558987028,0.45353991728518755,0.8304655195406161,0.29555443576572604,0.5043828476666667,0.0017580403602196237,0.6371212121203299,0.006650840336144596,0.9999047619050001,1.01873303,1.0201922659404268
1063,0.3632342143906021,0.9374378109452737,0.32785584656511774,0.002041546723951643,0.29969856819880036,0.0014310224089635853,0.3635361552028218,0.9375124378109454,0.0004958359313115777,0.0013519545454533165,0.0021329227941192155,0.98005,1.0200122958700002,1.0177210156159422
390,0.260275293314978,0.6708879843184079,0.45804124202586743,0.008473065781332723,0.3002338760630262,0.0035118693942296914,0.2604825444326866,0.6707472737323384,0.0012560242896750339,0.0024224563819982524,0.003944919786091136,0.9774949494949999,1.02198132201,1.0240714918482332
241,0.26136885095447876,0.6728855721393036,0.45677423962411073,0.01430694481739296,0.3006693905424321,0.003995535714285714,0.2615648883009994,0.6727611940298508,0.002014420187276456,0.002736960227270239,0.006281594669122266,0.96740625,1.0212590663799999,1.0228695037276048
734,0.3846627858193833,0.992004264393035,0.3097256898528762,0.00233182445910777,0.3000779231480395,0.0018097238895546216,0.38506760728982947,0.9924129353233831,0.0005922553345833845,0.0018141477272719873,0.0027123686974872886,0.981107142857,1.02283486085,1.0208006584249862
1115,0.13298091042584437,0.6729353233830847,0.4564894603871911,0.0017527121374856323,0.15309297287106402,0.003906442577030812,0.1331187536743092,0.6727562189054727,0.0010758160462397658,0.0013487727272715013,0.001685338235295357,0.98356,1.0786100627,1.0900615495119474
558,0.26054366014390606,0.6718731921791045,0.4572632050337205,0.00967938950364679,0.30025104712459605,0.003651879356386554,0.26092722475161667,0.6717574916119404,0.0013931202252510386,0.002479524312892746,0.004307113543084049,0.975790697674,1.01747309786,1.0237785375433373
183,0.38401510383920706,0.9863539445621892,0.31161862784869954,0.004416679453740916,0.30142810044091045,0.0015002000800308122,0.3843957336022926,0.9861265103054728,0.0011109935233072884,0.0015073636363627208,0.005148340336128786,0.964285714286,1.02050468109,1.0190437599604973
1108,0.3617517491578561,0.9316164276666667,0.32997443266265003,0.002915789473682108,0.3005630143916338,0.0013123523919383753,0.3619842998927101,0.9313237732905474,0.0007798243298154331,0.0012376024955434205,0.0033614186851127657,0.964901960784,1.02071902941,1.0161981124530863
832,0.2601768169911895,0.6705647022636816,0.4580401478726904,0.008404996290430504,0.3000541635263953,0.0038747870282072826,0.26042897749706057,0.6707596040417911,0.0012994822689102428,0.0026825023430139252,0.004099871134017721,0.9787525773200001,1.0211475645299999,1.0241930619944943
439,0.8834096060939794,0.6940056996567165,0.4431819299165919,0.0021765509474102164,0.9858032800819234,0.1381061162327731,0.8839317819900057,0.6939670579144278,0.00021985923167201565,0.31746204766089325,0.002297587093082572,0.9999805825239999,1.29780657036,1.210933920228038
1317,0.9898544920558002,0.8264736921442787,0.3720428437209219,0.002906796211303487,0.9276631471072668,0.0037406841524369747,0.9909946021061138,0.8260515603800994,0.00024372744481907118,0.009638980716232148,0.00285989304811975,0.993727272727,1.21049484569,1.195813472820611
108,0.14136563876651984,0.6525174129353235,0.5227958299014188,0.0597677336197316,0.186078089675871,0.006251148459383753,0.14147560258671368,0.6527164179104479,0.018537881509667575,0.00338335454545147,0.054794117647099114,0.96034,1.14266128096,1.10401566266203
976,0.35790657121879593,0.9215640547263683,0.3337025561340707,0.002657575859289658,0.300776466536215,0.0014531249999999998,0.3582221854791299,0.9215018656716419,0.0006379653190871229,0.0013883167613623745,0.0028359719669138503,0.98115625,1.01759937121,1.0171006762353523
177,0.46549192364170344,0.6028429282139305,0.5101086240127604,0.001882998312105326,0.5978307675747515,0.035526210484313724,0.4658184261360963,0.6025017768298508,0.00036772904945601265,0.043018181818142716,0.0020337605042022307,0.9994571428569999,1.0186998031899999,1.0210470944272896
812,0.13256033025770925,0.6705153477910449,0.45806916951696547,0.0015347070506447184,0.1530688369997966,0.003946408752184873,0.13268277261992945,0.6704777996805971,0.001078514446776322,0.001378687821609656,0.0017039400665946351,0.983490566038,1.07385376366,1.0901273739892523
40,0.3851909963186491,0.9940707421791046,0.3092057387311914,0.0019409222665268849,0.29996141776127666,0.0012973792256638654,0.38559107052322156,0.9935936754587066,0.0005104453564918999,0.0013221980074692526,0.0023699033037811543,0.9782328767120001,1.02142975822,1.0207458802851863
1018,0.3621911511204112,0.9346744538159205,0.32880292136503436,0.003661560734137669,0.29973829494466736,0.0018212154426974789,0.36276614779100524,0.9345879299154229,0.0009478169528140328,0.0017184584980229835,0.004081937340157413,0.9703043478260001,1.01482734594,1.0169367275379122
1209,0.18737151248164463,0.5890174129353234,0.652261732595904,0.31824319817383556,0.30820754050474947,0.016207282913165266,0.18754776601998818,0.5891044776119403,0.08044100706077695,0.010835045454535605,0.24632299632371052,0.85195,1.14724457213,1.1126729123251722
510,0.13275513950073423,0.6713308457711443,0.4574790901940007,0.0019149268259925267,0.15304728711371662,0.0033919817927170865,0.13282015481084655,0.6714552238805971,0.001511834613127052,0.0011679261363625748,0.0023681985294061528,0.9740208333329999,1.08769760872,1.0888175335813481
