,EXEC,PhysIPC%,INST,MEM,L3MISS,INSTnom%,L3MPI,IPC,L3HIT,L2MISS,L2MPI,FREQ,GT,Pred
328,0.9882525697503671,0.8298223169860697,0.37015800319579,0.0031135184901009056,0.0030301260504286987,0.9898379104732509,0.0002555490020948904,0.829992892681592,0.9918,0.009267090909068848,0.0035999199679831936,0.9226891349977765,1.23827658546,1.166513568270924
200,0.37852089173641706,0.4745364088646767,0.6475654713034428,0.0070175275852003135,0.008434491978623851,0.3787878787874778,0.001855122908016126,0.47462686567164186,0.999909090909,0.9128925619823521,0.9167303284957983,0.6172768805236164,1.05585359702,1.0485971910060496
1158,0.29516384573788546,0.5085886357681593,0.6041477119179425,0.001727999745603261,0.0021267724458214165,0.2953177697325102,0.0006073838773617692,0.5083791568457713,0.999986842105,0.595251196170368,0.7750995134901959,0.4492683275987611,1.0179380316,1.0198955206803682
531,0.38603361070337744,0.9949143173024876,0.3090310639401027,0.005720909416382535,0.004954901960783055,0.3865373309817754,0.0010687008607473388,0.9944720840248759,0.9657777777779999,0.0017994949494947279,0.0017709305944593838,0.3001300447962238,1.01788621599,1.0209354029260373
8,0.17984837619089578,0.5906513941920398,0.6610208999951793,0.3094710613738403,0.19600957592352647,0.18003773430188125,0.06399298548967629,0.5903968529452737,0.842348837209,0.009688266384768466,0.014580157644453778,0.2992151491384435,1.1311043567799999,1.1033452112592945
1260,0.24017282277165936,0.5247225411402986,0.6684279476485052,0.6187121994550921,0.39483750000029033,0.24053158775426212,0.14331160321087502,0.5248373517014926,0.664730769231,0.014206573426550722,0.022104072398179273,0.4050657389426502,1.08285416864,1.081574645962652
1359,1.0,0.8396019900497513,0.36630128405984025,0.004391890440384323,0.003569558823532036,1.0,0.0002993073928645634,0.8393034825870647,0.9911,0.006866363636357394,0.0026092436974789915,0.920910653729774,1.21597450801,1.1691256428413217
1248,0.4564757709251101,0.5886169154228857,0.5219732217777343,0.005113920515571906,0.006206911764710447,0.4566725455614344,0.0011447365789798245,0.5886567164179105,0.9988,0.07306727272720631,0.06150140056022408,0.6001281085151587,1.02053577879,1.0211734928575174
745,0.3649045521292218,0.9441127694855722,0.3254776687719412,0.004094790547795868,0.0033803308823627805,0.36522633744855965,0.0007684400330284041,0.9436152570497514,0.9746666666670001,0.001607083333330812,0.0016645658263305322,0.2991465319645669,1.0212490577,1.0172056352350416
7,0.45229397227900153,0.5838369129960199,0.526348964263192,0.0023738204395991553,0.002080416068869177,0.45285413171663713,0.00038258525926223116,0.5836670307014926,0.999780487805,0.06494013303775915,0.05511375281820728,0.5994862793382091,1.01607722182,1.0214503326768487
540,0.24221732745961824,0.5104477611940299,0.665210501292377,0.6531686358750519,0.3783308823532194,0.2425044091710758,0.13667986720798547,0.5101990049751245,0.6577,0.013706636363623905,0.021868347338935574,0.40511845327787527,1.0917250118200001,1.07529679986499
10,0.16240123068281942,0.624093816630846,0.5534080358673502,0.21778387294741255,0.12002783613450002,0.16251994625073485,0.04179968184950466,0.6237858327412936,0.876476190476,0.0057666666666583944,0.009987995198067227,0.22655240741710286,1.1124182841099999,1.0809107349194924
1161,0.38532730504698975,0.992039800995025,0.3097676326551001,0.002730468087514108,0.003327863777098035,0.38562842290858307,0.0007232997983376665,0.9922754647810945,0.9799342105259999,0.0018990430621987282,0.0018929308565518205,0.3005792212849906,1.0174165849099999,1.0201719109582097
1166,0.13298210104405286,0.6719107166865672,0.45740937635819723,0.0015799641478203119,0.002016414944357365,0.13311327200220457,0.0012859601651805182,0.6719779480995025,0.979418918919,0.001181529484028926,0.0034038155802801123,0.1533559746630524,1.05060103385,1.0702185382493172
206,0.3658390068083701,0.9419267299860697,0.3262500132905689,0.005370471633622251,0.004561163101613647,0.3659611992945326,0.001036850703152015,0.9412030755323385,0.964363636364,0.001640661157022145,0.0016918767507002799,0.3005915170926158,1.01105409179,1.017003721791308
321,0.23797445823861968,0.4856625961104478,0.7986354874830033,0.6185986720050385,0.4600039438503382,0.23821103450764256,0.13761855422485283,0.48560229157263685,0.704606060606,0.019722451790600257,0.025759273406330534,0.47793532061411326,1.1244320369299998,1.1287082192267224
2,0.8469687434434656,0.8722814498935325,0.3524386484558508,0.05387409851149631,0.004710766806731405,0.8479605834097589,0.0004670102819779911,0.8721866856218906,0.9999047619050001,0.2401666666665999,0.10897025476862744,0.7515579022677702,1.02633912394,1.064853373008252
539,0.7687224669603524,0.797910447761194,0.38487171565290196,0.004243179377011685,0.003670588235296817,0.7696942974720751,0.00038981255231013097,0.7980099502487563,0.9997,0.12542727272715873,0.06218487394957982,0.7461626318760528,1.08546353503,1.0552644759646317
530,0.29352259748751836,0.5052515201771144,0.608013141878591,0.006031328320791606,0.005642401960790914,0.29410804102145793,0.0016198905634499546,0.5052515201791046,0.999888888889,0.5960606060590036,0.7812013694369747,0.4497509001088871,1.01944944474,1.0219187574865625
202,0.3828594313179149,0.9888738127542289,0.3105880582668704,0.004588467923037279,0.0037465909090836375,0.3830634386184597,0.0008312735892636373,0.9882406151044776,0.975818181818,0.0018220247933856165,0.001828877005347339,0.2995532044257338,1.01601475217,1.0201523597834286
198,0.26198104391923643,0.6749886928995027,0.4552283167520639,0.017405038570447152,0.008177807486631012,0.26227887339065253,0.0025700049993505514,0.675260063318408,0.961636363636,0.0028908264462769178,0.004140565317030812,0.3004876858258134,1.0156978373899999,1.0213500377885731
1253,0.2613509544787078,0.6738308457711444,0.45597578324888816,0.014265950590754962,0.006265588235298726,0.2616108171663727,0.0020146790021486915,0.6738308457711444,0.9696,0.002888709090906465,0.0042352941176470585,0.30024679728696885,1.01842096536,1.0213630799436193
