Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-3-learning-45-regular-34,5512.0,1.05,0.326,0.3274,5488.0,0.6524000000000001,16.3,1.037,5.651999999999999,0.0010222,0.6346,2.4168000000000003,0.00042544,2.0740000000000003,51.879999999999995,2.322,2104.0,1.8760000000000001,1.0150159334801159
batch-3-learning-45-regular-34,17655.555555555555,1.05,1.1094444444444447,1.0411111111111113,18744.444444444445,2.2177777777777776,55.44444444444444,1.0623333333333334,77.72222222222223,0.004132222222222222,0.9836666666666668,1.2853333333333332,6.902222222222222e-05,2.1244444444444444,53.1,1.5102222222222224,2111.1111111111113,1.1316666666666666,1.6458475185200951
batch-3-learning-45-regular-34,5600.0,1.05,0.32480000000000003,0.3316,5478.0,0.6494000000000001,16.240000000000002,1.0246,5.263999999999999,0.0009608,0.6418,2.1252000000000004,0.00037982,2.048,51.17999999999999,2.3200000000000003,2100.0,1.8699999999999999,1.0449802203027692
batch-3-learning-45-regular-34,12600.0,1.05,0.6015,0.7414999999999999,10226.666666666666,1.2033333333333334,30.083333333333332,0.8321666666666666,33.9,0.0032933333333333334,0.9428333333333333,1.8211666666666666,0.00017428333333333336,1.6633333333333333,41.63333333333333,1.952,2128.3333333333335,1.5883333333333332,1.2354222351032433
batch-3-learning-45-regular-34,5554.0,1.05,0.3264,0.32880000000000004,5510.0,0.6528,16.32,1.0350000000000001,5.536,0.0009922,0.6201999999999999,2.4058,0.00041986000000000004,2.07,51.760000000000005,2.332,2114.0,1.8800000000000001,1.0178438697014247
batch-3-learning-45-regular-34,16142.857142857143,1.05,1.1998571428571427,0.9395714285714287,20642.85714285714,2.402857142857143,60.028571428571425,1.2852857142857144,187.71428571428572,0.00902142857142857,0.9898571428571429,1.9315714285714287,9.232714285714288e-05,2.57,64.28571428571429,1.5942857142857143,2157.1428571428573,1.3284285714285713,1.4711334452489806
batch-3-learning-45-regular-34,5536.0,1.05,0.48360000000000003,0.32720000000000005,8170.0,0.9666,24.18,1.5400000000000003,4.884,0.0005936,0.6033999999999999,2.1652,0.00025874000000000003,3.082,77.03999999999999,2.1822,2100.0,1.816,1.029586278976574
batch-3-learning-45-regular-34,5634.0,1.05,0.26560000000000006,0.3332,4486.0,0.5314000000000001,13.302000000000001,0.8352,100.82000000000001,0.02322,0.9766,2.4248000000000003,0.0005274,1.668,41.7,2.1952,2114.0,1.832,1.0207944168122423
batch-3-learning-45-regular-34,5654.0,1.05,0.32839999999999997,0.33480000000000004,5538.0,0.657,16.439999999999998,1.0255999999999998,5.914,0.0010669999999999998,0.6321999999999999,2.4576,0.0004352,2.05,51.28000000000001,2.402,2110.0,1.904,1.0153977570177775
batch-3-learning-45-regular-34,5558.0,1.05,0.46340000000000003,0.3298,7804.0,0.9274000000000001,23.160000000000004,1.4760000000000002,4.76,0.0006052,0.5854,2.2558,0.00028136000000000003,2.946,73.72,2.1414,2108.0,1.8039999999999998,1.0236523698073312
batch-5-learning-78-regular-34,9187.142857142857,1.05,0.3742857142857143,0.5321428571428571,6404.285714285715,0.7484285714285714,18.7,0.871142857142857,10.452857142857143,0.001456,0.6534285714285714,3.469285714285714,0.0005008285714285714,1.7418571428571428,43.55714285714286,3.4528571428571433,2130.0,2.0100000000000002,1.0456053502602842
batch-5-learning-78-regular-34,17788.88888888889,1.05,1.1394444444444445,1.0433333333333334,19400.0,2.2800000000000002,56.98888888888889,1.0928888888888888,71.75555555555556,0.0036922222222222226,0.9721111111111111,1.8447777777777776,9.979999999999999e-05,2.1844444444444444,54.62222222222223,2.260111111111111,2133.3333333333335,1.367888888888889,1.4242179852446106
batch-5-learning-78-regular-34,9592.857142857143,1.05,0.3882857142857143,0.5372857142857143,6814.285714285715,0.7767142857142858,19.414285714285715,0.8798571428571428,11.692857142857141,0.001518,0.6672857142857144,3.649142857142857,0.0005038285714285715,1.7604285714285715,43.98571428571428,3.5500000000000003,2177.1428571428573,2.0242857142857145,1.0857126977058476
batch-5-learning-78-regular-34,13442.857142857143,1.05,0.6105714285714285,0.7871428571428571,10454.285714285714,1.2200000000000002,30.54285714285714,0.7985714285714284,75.75714285714285,0.0072185714285714275,0.9667142857142857,2.6257142857142854,0.00024187142857142856,1.5985714285714288,39.92857142857142,2.718571428571429,2127.1428571428573,1.7114285714285713,1.1510172541447743
