,EXEC,MEM,INST,GT,Pred
5649,0.7639515983382149,0.7040298845356577,0.36845857713468466,1.2205827890799998,1.2246879850031984
1750,0.2702907711761576,0.8227680929746435,0.6081841347190317,1.0743444208600001,1.0629294631568722
7893,0.2682680151716012,0.8244057052297941,0.6057977942111873,1.074499358,1.0608036383762387
4982,0.798735777498859,0.6686410459587956,0.35858367896400145,1.3016172682,1.2817501003622533
5214,0.2677623261700829,0.8228473322773375,0.6038208759674224,1.05599422618,1.0601827939001385
2553,0.3863102763241121,0.8201947022868464,0.6210571760994543,1.08791746791,1.114192519166551
5453,0.2677623261700829,0.7923666138399368,0.6103709032051662,1.07109930282,1.0718423015897973
4017,0.3863102763241121,0.8154629839255152,0.5136625873395607,1.1033805719499998,1.077790641883451
7234,0.3746071880087854,0.8146932306988907,0.515952706088616,1.08815635539,1.0745547777259212
245,0.2697850821753977,0.8152931854199683,0.6084789533010582,1.05562485731,1.0645918387828817
3203,0.8142315333244354,0.7386687797147387,0.3447799035180266,1.1869962462399999,1.175027097867438
3438,0.268141592921032,0.8053090332805072,0.60460447579622,1.05263808676,1.0653251527148728
7994,0.268141592921032,0.8206814580031696,0.6108736797515586,1.04662958875,1.0633865894919856
444,0.6686894226737515,0.606057404473851,0.5097486605348299,1.50164537718,1.4126382073126829
1519,0.36270543615793355,0.7470153195990492,0.45111535293518523,1.09740469715,1.0828369401494047
507,0.670206489677548,0.5706990667369256,0.5080309821577182,1.49013213712,1.4839000794094
5514,0.6442477876119956,0.6340552914247226,0.5329589141857538,1.4056584907799998,1.3613124012328248
966,0.27003792667577764,0.8263074484944534,0.6110222160500779,1.04668951246,1.0631093621806562
7236,0.3888026006869503,0.806339144215531,0.5100536235938373,1.1058109919799999,1.081117319618836
448,0.27016434892634683,0.8248019017432647,0.6091463311764416,1.06181784253,1.062790963073231
4529,0.2814159292042514,0.832488114104596,0.680742753342799,1.11679288062,1.0907822558538867
146,0.28336644392309324,0.8332578673312203,0.6745956643443599,1.1017001224,1.0894683620772092
2169,0.282607910421195,0.8411817975990491,0.6798445864372903,1.0931605776200002,1.0897932555564362
6198,0.37222322557413967,0.7713832918272583,0.6259812147412505,1.12249421379,1.1341210516594948
5200,0.2824995484930026,0.8471587050031696,0.6740362550379811,1.0745976376100002,1.0872888685727908
2709,0.2682680151716012,0.8128103539350239,0.6068223135721323,1.07625625962,1.0639579552308727
5574,0.2695322376742593,0.8380876914944533,0.6089946559304361,1.04919424239,1.0602663643323698
975,0.37686472819286193,0.7807184363438986,0.4290028245145581,1.04918252989,1.0570151660012053
7997,0.8157486003282319,0.7538827258320127,0.350308010695446,1.17222928496,1.1583383254952178
6611,0.7853666245279024,0.6758716323296354,0.35426116018142756,1.19713777717,1.2661166678192963
7146,0.26877370417236107,0.8210776545166403,0.6111874844673219,1.0436345732899999,1.0636977559982328
2414,0.3653603034145774,0.7806656101426308,0.4447198014824821,1.03789750643,1.0586044527356273
5852,0.2694058154244486,0.828182778659271,0.609150493454929,1.0677838405700002,1.061795261449684
5650,0.26687737041761544,0.7914949815103012,0.6065266095313646,1.0747630909,1.0703824774870598
3416,0.3623261694069844,0.7734020073961966,0.45082146240560095,1.08405324709,1.0641344279889988
1739,0.37178977785909434,0.7903101652694137,0.5137809900737796,1.11707977639,1.0835553844860168
7986,0.2823911865640516,0.8506905139239304,0.6770504544836423,1.0869002375499999,1.088003632822795
7042,0.3680151706712213,0.7718436344421554,0.570145319106474,1.04927563573,1.1132134104050337
2073,0.3840346758184173,0.7905365632773376,0.6067984211800526,1.09765861035,1.1214820365699805
653,0.4138342062495926,0.7694136291600634,0.64724455145311,1.11310739314,1.1579403857873456
7900,0.3834928661736625,0.8175458455974645,0.4994433443264924,1.1032093881799998,1.070480096165126
6340,0.3739570164358381,0.695449400044374,0.5977826059328967,1.2077145521400001,1.1902044302114319
2410,0.26902654867349945,0.8089540412044374,0.6055571911231548,1.02777709543,1.0649593175172642
6683,0.2656131479149573,0.8111199154786054,0.6021770312537411,1.0391108283,1.0615053543031605
6174,0.4037565468677719,0.7177269640031696,0.6540214196760474,1.18589231064,1.1984361300442716
3422,0.3752573595817327,0.774303826126783,0.6193728416995979,1.1551959678100001,1.1313890175124974
3864,0.7358723135290415,0.696216323296355,0.39446323105503583,1.25484764563,1.240404573398079
6830,0.37970019866417126,0.7453701607416798,0.6145614825745614,1.15356085396,1.151783531491524
4020,0.3661188369164757,0.797279450606973,0.4456312058689283,1.05627714253,1.050507030599019
6471,0.3841430377473683,0.804369481548336,0.5007407209368389,1.08657823879,1.076638862253302
5482,0.2680151706704628,0.7912044374009509,0.6047163730287264,1.07321967469,1.0704017882216483
2300,0.2839082535678481,0.8460719945673535,0.6750992403104634,1.09725858442,1.088291590526631
6522,0.37424146649905,0.6787440570522981,0.644827528791023,1.26244792434,1.2240540709015677
178,0.40657395701746296,0.7460040751648178,0.6655948633746313,1.15066279915,1.1779656519260537
5478,0.8000632111271812,0.6491679873217117,0.3480683583133893,1.3224323527700002,1.312157612707049
4351,0.37991692252207315,0.7981435363375596,0.6137868188052522,1.0792930556799998,1.1184946763506536
6820,0.2691529709233102,0.8268621236133122,0.61010620003237,1.06482740988,1.0622747198654792
2587,0.282607910421195,0.8468191079904913,0.6780994363426212,1.0924042786100001,1.0886906049417684
792,0.3893444103317051,0.8021055014722663,0.5085290685549616,1.10804134019,1.0826669392790425
7318,0.2814159292042514,0.838374462304279,0.677929048612681,1.09921676536,1.0890164679428194
4988,0.6431521281095908,0.6210424370491284,0.5340784657340156,1.4060405542299999,1.384134987426671
6860,0.28423333935394246,0.8484038940443741,0.670775640418264,1.08602566314,1.0868187038733284
6622,0.3737402925779362,0.8155535431299525,0.5111826342778167,1.07554703414,1.072070286083415
7901,0.26852085967198114,0.8077126254627576,0.6036711081679347,1.06290440229,1.0644151304113685
4842,0.3860935524662102,0.817885442606973,0.4933210659687481,1.10031734451,1.0689371061818373
37,0.3931370778411964,0.8235680326006339,0.5144103012108961,1.08790397271,1.0776079230560849
7803,0.28163265306215335,0.8478152592250398,0.6738132090015794,1.08851354112,1.0868179751960483
4345,0.6848040455137417,0.5623137876386689,0.5030400293924789,1.55802156744,1.5054714868082788
7326,0.36257901390736436,0.7601162176450079,0.44459501794412587,1.06620601086,1.0704293150002397
2910,0.26902654867349945,0.8047279450602219,0.6068346013492385,1.09139346061,1.0667340652094235
3426,0.4099331768119089,0.7278922345483361,0.6640213433011287,1.15878280679,1.1943530589667912
1743,0.37686472819286193,0.7893819334389858,0.4340204889668454,1.06721497033,1.0542221736281625
147,0.26852085967198114,0.818409931326466,0.607534602692323,1.0464704219299998,1.0628875526366512
5922,0.3664981036674248,0.7568409931315373,0.4434592952844519,1.05662322701,1.0740987918142735
246,0.26750948166970295,0.8120972002123614,0.6027089671157468,1.0602190652299999,1.0623122466358386
4024,0.37330684486289084,0.7864613991394611,0.6199830790462483,1.12649370717,1.1238908850185325
6991,0.26700379266818464,0.8178816693074485,0.6032179176236597,1.06275416926,1.0607528654032692
1515,0.3817590753127226,0.7643649535879556,0.6061154147959412,1.17381316834,1.1360048257416302
3454,0.28065739570235315,0.8126330088304279,0.6797984425100008,1.12407432673,1.0945371883918866
41,0.2682680151716012,0.7840729001584786,0.6037588437518258,1.08441961124,1.073210473607362
6286,0.2664981036666663,0.8005810882187006,0.603942710595654,1.04571086206,1.0658775702570766
6170,0.3891276864738032,0.7748924609461173,0.506924229926576,1.1362179617000001,1.0969052654871443
4758,0.37688278851448015,0.7473851030110934,0.6231666959412868,1.1338362156,1.151812377467212
5477,0.37428210222269104,0.7854426081061808,0.6212079049157601,1.1202437106999998,1.1252174076525985
2555,0.26877370417236107,0.8109878499746433,0.605741918599008,1.06779617638,1.0643136989511666
5929,0.38425139967556077,0.7771564410237718,0.49408530386983185,1.11340612052,1.0885721324758548
1363,0.26902654867349945,0.8313523507654517,0.6044861234317578,1.0514726839,1.0593807680898142
2903,0.2821744627061497,0.8451664025356578,0.6817037241112862,1.10742268205,1.0898269846193418
4333,0.28163265306215335,0.8114104595879555,0.6793094441937001,1.10239446483,1.0951525084217997
434,0.36523388116400823,0.7871104067622822,0.44844324608318215,1.07092141548,1.0564882718552904
6342,0.28119920534634946,0.8266244057052298,0.6756000240315354,1.1201519188,1.0900722399941527
6171,0.7356691349123532,0.7560108671045958,0.39049848116544406,1.1589840420200002,1.1628830398495447
5926,0.9273072060706128,0.6406497622820919,0.35323501303259874,1.3375687624500001,1.3454554927603726
2714,0.28379989163889713,0.8503735567131537,0.6761385997054369,1.09290014595,1.088283292062152
7999,0.28271627235014596,0.8491057278684627,0.675140076765612,1.07824971962,1.0876013115018772
6195,0.26852085967198114,0.8103275224516642,0.6031967844875008,1.0404772096400001,1.0634646399204393
6989,0.36422250316173005,0.781246698362916,0.4469404083301571,1.0575415232799998,1.0586912259081311
1187,0.2676359039195137,0.7896460644469098,0.6087415409449308,1.07116565305,1.072296602562366
4542,0.8131479140349259,0.6743462757527734,0.34668924761533537,1.28727633384,1.270194505291384
2296,0.4044067184407192,0.710233189949287,0.6571653423355447,1.20210398225,1.2070697744968466
