,EXEC,FREQ,MEM,L3MISS,PhysIPC%,INST,L2MPI,GT,Pred
6036,0.2495575221245248,0.3548329221798212,0.68202852614897,0.26799915753990394,0.4749652938454419,0.4932552157090392,0.03232424677187948,1.04324232006,1.0321071918993592
6032,0.35529709228914114,0.5265978919039553,0.6142947702060222,0.24107834877833145,0.42313743637205,0.5136934380975594,0.1184361549497848,1.0905353683299999,1.0910177827618137
1629,0.3988621997479112,0.7202287508412515,0.6547543581616482,0.35977955630376585,0.35014653709671445,0.6270482458747682,0.7914873266391679,1.15066569084,1.1465160650890012
830,0.24864728192224692,0.34998878672344136,0.6751188589540412,0.28067818028631814,0.47663118926422954,0.48768945835931277,0.032044476327116204,1.05273496814,1.0343616281532384
7416,0.24940581542414517,0.3489795918366956,0.6836133122028527,0.2329991575399187,0.4788523831559463,0.48411004206195324,0.028923959827833568,1.0444904399500001,1.02348292223913
696,0.35074589127775163,0.5090379008745785,0.5927733755942949,0.2490985678179237,0.42906062008329476,0.5025697590738825,0.11355810616929697,1.0928383938200001,1.0974227639609684
7594,0.35226295828154813,0.3524108544516313,0.6283359746434233,0.270446503790956,0.6761684405367885,0.34661894344714184,0.01967144906743185,1.02070505349,1.0485134561656606
3874,0.9301517067027313,0.9340098676832324,0.537757527733756,0.17947820134786038,0.6188107357704766,0.34910093437635814,0.01866481348637016,1.4298905421099999,1.3597250346948493
7092,0.6768647281936204,0.9639493159903607,0.5104331748541997,0.21421651221557952,0.4326700601573346,0.4937194980960769,0.6193208990925394,1.3500666530899998,1.4179797896160378
2814,0.24652338811693184,0.3493832697913939,0.6813629160063392,0.3043260320133512,0.47422489588153627,0.49190392045076725,0.033328550932568146,1.05406151521,1.0353069687276026
6668,0.250771175727562,0.35301637138367875,0.6595879556259905,0.26248525695018426,0.47644608977325303,0.4883390768994595,0.029892395982783353,1.01715760502,1.0403511271402806
2597,0.3815423514548206,0.6452792105852607,0.5446592709984153,0.19611204717767644,0.3642757982415548,0.5839775436733855,1.0,1.1609377247100001,1.139687105946549
