,EXEC,MEM,INST,L3MISS,INSTnom%,L3MPI,L2MPI,L3HIT,PhysIPC%,L2MISS,FREQ,IPC,GT,Pred
3255,0.9386635312561238,0.2478883071553229,0.24055589123867074,0.43154551870148217,0.9396078431372552,0.12942857142857148,0.015771084337349393,0.3076152304609218,0.9470404984423674,0.024252400548696845,0.5025575447570332,0.9508196721311476,1.0270687132270562,1.0272671856044555
4133,0.22535763276504014,0.22339732402559637,0.4280994654891936,0.38426252646436143,0.22533333333333339,0.48500000000000004,0.09180722891566263,0.4372077488309953,0.5336448598130842,0.03367626886145405,0.21483375959079284,0.53551912568306,1.0317163052092553,1.0504462889664772
1026,0.41857730746619637,0.2197556719022688,0.36063066465256804,0.376499647141849,0.41882352941176476,0.2515714285714286,0.03312048192771084,0.35504342017368073,0.6320872274143303,0.022798353909465018,0.33674339300937767,0.6338797814207652,1.0297302741990235,1.0347750803883315
798,0.6172839506172839,0.22927283304246657,0.24882700053500675,0.39378969654199025,0.6172549019607843,0.17928571428571433,0.02320481927710843,0.3410153640614562,0.9158878504672896,0.023497942386831276,0.34228473998294967,0.9180327868852459,1.0296210020080383,1.028722841234779
1990,0.6086615716245345,0.23066317626527058,0.24724054295561895,0.40084685956245597,0.6094117647058822,0.1854285714285715,0.023108433734939753,0.3216432865731463,0.922429906542056,0.023004115226337447,0.33589087809036655,0.9242779078844653,1.031247750248168,1.0290611095839803
1546,0.41034685479129923,0.2645491564863293,0.3673499248099928,0.42836979534227254,0.41098039215686283,0.291857142857143,0.037048192771084336,0.33600534402137605,0.6202492211838007,0.025075445816186558,0.33631713554987214,0.6198282591725217,1.0371887636802395,1.0315422242125323
2893,0.2120321379580638,0.23535194880744625,0.4093609414372222,0.40684544812985196,0.21223529411764708,0.5385714285714286,0.08518072289156624,0.3787575150300601,0.5616822429906542,0.02982167352537723,0.19394714407502128,0.5636221701795473,1.0349295399912677,1.0459849165564177
2391,0.5682931608857534,0.24187318208260625,0.4200096715814257,0.41531404375441083,0.5694117647058824,0.20400000000000004,0.10180722891566264,0.8279893119572479,0.5426791277258567,0.09574759945130315,0.5323955669224211,0.5448868071818891,1.065610361113767,1.053908322045402
2897,0.8932980599647267,0.18405322862129148,0.4297447894012955,0.3437720536344391,0.8947058823529411,0.10875000000000004,0.5792168674698795,0.9862224448897795,0.5292056074766355,0.8467078189300411,0.8580562659846546,0.5304449648711943,1.140125010985232,1.1900806236878803
547,0.8962375073486185,0.1592059336823735,0.4366826976456083,0.3072512350035287,0.8964705882352941,0.09653571428571431,0.4243373493975903,0.9817134268537074,0.5226635514018692,0.6275720164609053,0.8711636828644501,0.5234192037470727,1.2472683472759118,1.2083778685267097
