,EXEC,L2MPI,MEM,L3MISS,L2MISS,INST,IPC,L3HIT,PhysIPC%,INSTnom%,L3MPI,FREQ,GT,Pred
2454,0.4205369390554575,0.07362650602409639,0.9680046538685285,0.5868031051517293,0.04803840877914951,0.6942200231477645,0.3603434816549571,0.511690046760187,0.3591900311526479,0.42117647058823526,0.4401428571428572,0.649616368286445,1.0696923329607926,1.0744599836899904
1411,0.5733882030178327,0.14686746987951804,0.17824898196625946,0.29181369089625975,0.13895747599451305,0.424613655589124,0.5386416861826698,0.918503674014696,0.5367601246105919,0.5741176470588235,0.14242857142857146,0.542625745950554,1.048392296137434,1.0594337164389314
3552,0.43111894963746816,0.026265060240963856,0.19089586969168124,0.29216654904728306,0.018395061728395067,0.3518024133584261,0.6494925839188135,0.3847695390781563,0.647663551401869,0.43137254901960786,0.1924285714285715,0.3380221653878943,1.037117158646741,1.034294607986868
1215,0.9543405839702135,0.008879518072289155,0.13809773123909252,0.22053634438955544,0.013909465020576134,0.23556197731949743,0.9679937548790007,0.3817635270541082,0.9657320872274142,0.955294117647059,0.06490000000000001,0.5012787723785168,1.0294243964714205,1.031652812682239
197,0.9127963942778758,0.489156626506024,0.11628272251308903,0.20077628793225127,0.7379972565157752,0.419889224572004,0.5433255269320844,0.9906479625918505,0.5417445482866043,0.9129411764705881,0.06157142857142858,0.8563512361466327,1.189429297669314,1.1885821842510187
5805,0.9715853419557123,0.01019277108433735,0.16542815590459575,0.271347918136909,0.016296296296296295,0.23280349620741866,0.9836065573770493,0.35671342685370744,0.9813084112149533,0.9717647058823529,0.0782857142857143,0.5025575447570332,1.015882725491471,1.0313124802311784
5392,0.4354301391338428,0.021638554216867473,0.15652123327516004,0.22829922371206782,0.015404663923182443,0.3468961376570454,0.6572989851678376,0.42284569138276556,0.6563862928348909,0.43529411764705883,0.14800000000000002,0.3371696504688832,1.031562049107792,1.0334863191212926
2954,0.4177934548304918,0.07221686746987951,0.9581151832460736,0.5751587861679607,0.04731138545953361,0.6981247587739731,0.35862607338017183,0.4996659986639946,0.3573208722741432,0.4180392156862745,0.4311428571428573,0.6491901108269396,1.075475780644479,1.0744977920077714
1810,0.6219870664315109,0.014349397590361444,0.1453577661431065,0.2223006351446719,0.014876543209876544,0.2409981223473807,0.9484777517564403,0.4168336673346693,0.9439252336448598,0.6223529411764708,0.09857142857142859,0.3337595907928389,1.0315397924914649,1.032639186602157
5806,0.4283754654125024,0.0267710843373494,0.1841012216404887,0.2942836979534228,0.01857338820301783,0.35191582005276784,0.6479313036690088,0.3881095524382097,0.6470404984423676,0.4274509803921569,0.19600000000000004,0.33589087809036655,1.032968929804373,1.0354721141087888
