,EXEC,PhysIPC%,L3MISS,L2MISS,MEM,L3HIT,FREQ,L2MPI,IPC,INSTnom%,INST,L3MPI,GT,Pred
4265,0.9633548892808153,0.9750778816199376,0.35321100917431214,0.020589849108367624,0.20614310645724263,0.32999331997327985,0.5017050298380222,0.012843373493975904,0.97736143637783,0.9639215686274508,0.23331662059951583,0.10142857142857148,1.0320482185864441,1.0402641182413923
1358,0.6176758769351361,0.9305295950155762,0.3585038814396614,0.02064471879286694,0.21159976730657365,0.3219772879091516,0.3375959079283887,0.020349397590361445,0.9336455893832943,0.6180392156862746,0.24499061604560277,0.16271428571428576,1.0331286886743634,1.0278692092359556
4247,0.8959435626102292,0.5342679127725856,0.33733239237826407,0.6598079561042525,0.19146596858638748,0.9802939211756848,0.8520886615515771,0.44337349397590364,0.53551912568306,0.8956862745098041,0.4265057448173017,0.10542857142857147,1.144487075438885,1.0788137649784542
1829,0.5749559082892417,0.8685358255451712,0.3577981651376148,0.02091906721536351,0.20891797556719027,0.3319973279893119,0.33674339300937767,0.022277108433734934,0.8711943793911008,0.5749019607843137,0.2625912651164038,0.1754285714285715,1.0314854069855752,1.0269079314048009
4720,0.620419361160102,0.9314641744548288,0.3620324629498943,0.021097393689986282,0.21167539267015714,0.33132932531730125,0.33930093776641096,0.020698795180722887,0.9320843091334895,0.6211764705882353,0.24507647280966768,0.16357142857142862,1.026032836419363,1.030651488737261
5013,0.23789927493631197,0.5520249221183801,0.31968948482709963,0.030699588477366258,0.19160558464223393,0.4849699398797595,0.21867007672634273,0.07879518072289156,0.5542544886807181,0.23796078431372558,0.4121605591169133,0.3822857142857143,1.0303104553951603,1.0380823943070023
3561,0.5592788555751519,0.5404984423676014,0.3585038814396614,0.13593964334705075,0.21299592786503788,0.8981295925183701,0.5260017050298379,0.14903614457831324,0.5402029664324746,0.5592156862745098,0.42151685499117525,0.1818571428571429,1.0306898041531736,1.0393534867237797
6185,0.972761120909269,0.9813084112149533,0.2738179251940721,0.016378600823045267,0.16667248400232698,0.345691382765531,0.5034100596760444,0.010120481927710843,0.985167837626854,0.9733333333333334,0.231644729892464,0.07800000000000003,1.025709716979657,1.0470662846977827
1099,0.5867136978248089,0.8869158878504673,0.3292166549047284,0.019437585733882032,0.18337987201861555,0.3403473613894455,0.33631713554987214,0.02028915662650602,0.8899297423887589,0.5866666666666667,0.2570946865021979,0.15842857142857142,1.0375703430287442,1.0283465745940328
6377,0.8610621203213796,0.5099688473520249,0.32357092448835584,0.9190672153635115,0.1965095986038395,0.9883099532398131,0.8584825234441604,0.6469879518072288,0.5105386416861828,0.860392156862745,0.44611428938741393,0.10385714285714287,1.1419060021737548,1.1501119998025153
4258,0.6215951401136586,0.9355140186915887,0.31404375441072696,0.01855967078189301,0.18625945317044795,0.3430193720774883,0.3375959079283887,0.0182289156626506,0.936768149882904,0.6219607843137255,0.2435348442441573,0.14200000000000007,1.0353850411944494,1.0252806569363413
