,EXEC,PhysIPC%,MEM,L2MISS,L3MISS,INST,FREQ,INSTnom%,IPC,L3MPI,L2MPI,L3HIT,GT,Pred
2807,0.9139721732314324,0.5442367601246105,0.08297847585805701,0.6378600823045267,0.1274523641496119,0.419889224572004,0.8537936913895994,0.9145098039215687,0.544886807181889,0.039300000000000015,0.42156626506024086,0.993319973279893,1.1902456922105769,1.1606004058829784
4941,0.5626102292768959,0.5490654205607477,0.10835951134380456,0.16275720164609053,0.1519054340155258,0.4154951979743782,0.5210997442455243,0.5635294117647058,0.550351288056206,0.07478571428571432,0.17403614457831323,0.9649298597194389,1.0343854564139363,1.0574077517344938
3089,0.6008230452674898,0.9079439252336449,0.08746945898778362,0.009650205761316873,0.11803105151729008,0.2510182196879866,0.33631713554987214,0.6011764705882353,0.9110070257611242,0.054428571428571444,0.009686746987951807,0.5150300601202404,1.0293410677564108,1.0362873423979786
3196,0.43562610229276894,0.6523364485981309,0.13559336823734736,0.014176954732510289,0.174135497529993,0.3491173065906666,0.3388746803069054,0.43529411764705883,0.6533957845433256,0.11100000000000003,0.019680722891566266,0.5085170340681363,1.0294376398857317,1.033819253328962
2808,0.6325690770135214,0.9532710280373832,0.11515706806282726,0.01248971193415638,0.1677840508115738,0.2382475373215112,0.33695652173913043,0.6329411764705881,0.9578454332552694,0.07392857142857145,0.011909638554216867,0.47094188376753504,1.0322213509092422,1.0344167980740215
2353,0.236331569664903,0.6200934579439252,0.1103577661431065,0.01792181069958848,0.15878616796047995,0.3673210269241519,0.19309462915601022,0.23564705882352943,0.620608899297424,0.1881428571428572,0.04608433734939759,0.5511022044088176,1.0273861157478674,1.0454648602128724
955,0.9647266313932981,0.967289719626168,0.11493891797556723,0.012674897119341564,0.17572335920959778,0.2345768234786362,0.5051150895140665,0.9647058823529412,0.9718969555035131,0.05100000000000002,0.007969879518072289,0.44488977955911824,1.0445275716642757,1.036923402681882
29,0.5984714873603763,0.9032710280373831,0.11216404886561958,0.012386831275720163,0.16566690190543407,0.25231964334197426,0.33695652173913043,0.5988235294117648,0.9063231850117097,0.07671428571428573,0.012487951807228915,0.46843687374749504,1.0305286842169463,1.0348230047106202
1227,0.9174995100921027,0.5436137071651089,0.07690517742873765,0.8175582990397804,0.12261820748059282,0.42022954652416183,0.8576300085251491,0.91921568627451,0.544886807181889,0.037300000000000014,0.5397590361445782,0.9959919839679359,1.0560714226749657,1.2048759943556044
3711,0.5871056241426612,0.5613707165109034,0.09000581733566028,0.06406035665294925,0.1312632321806634,0.4062482346842096,0.5319693094629157,0.5874509803921569,0.5620608899297425,0.06302857142857145,0.06650602409638554,0.918503674014696,1.0744458990528205,1.0610875753814955
2064,0.4346462864981382,0.37570093457943926,0.9552065154159398,0.046625514403292184,0.5416372618207482,0.662219422211404,0.6427962489343564,0.4345098039215688,0.37611241217798597,0.3907142857142858,0.06866265060240963,0.5664662658650634,1.0704946112246756,1.0707533669819929
