,EXEC,L2MISS,L2MPI,INSTnom%,L3HIT,FREQ,L3MPI,MEM,IPC,PhysIPC%,INST,L3MISS,GT,Pred
110,0.515811228294535,0.5633363774739726,0.27912939569780143,0.5162754003285357,0.9993251276133497,0.5647391290143055,0.10235399218337356,0.11353974304682786,0.8926361655764706,0.8929927157083166,0.8702100713490273,0.13326693738475806,1.09964488839,1.0683991925322358
112,0.4026845637583893,0.1266236905720548,0.08027935653609075,0.4029485138898483,0.9544876275875709,0.5036580936406188,0.7704834332108456,1.0,0.7810841983843139,0.7817174515228239,0.9935969820058781,0.7837886257229488,1.02291295176,1.0284483468113768
143,0.257206775327325,1.0,1.0,0.2575747883753598,0.998011807737103,0.30409356725111547,0.4547637175778481,0.15123111675860382,0.8261437908509803,0.828460038989078,0.9393828956467815,0.29487269247831066,1.11404799805,1.0670017506403873
7,0.505525558863279,0.6910497476575344,0.3502873712964577,0.5058934036292457,0.9958063441623634,0.5461512867735022,0.24509845880145736,0.1646673911590148,0.9053663570705883,0.9058900714414536,0.858086861396023,0.3102540930148132,1.1344712027200001,1.0782596384337801
44,0.2822627037392138,0.5546575342465754,0.5024457618169165,0.28233980565572825,0.9974047261302186,0.3034468471843707,0.3314381826476303,0.13167783296751165,0.9092691622117648,0.9097204734308312,0.8548796315958264,0.2329724465830881,1.08926987894,1.0555477646354032
101,0.2836774262274209,0.5890045662109589,0.5326049846368158,0.28398046866705046,0.9987018571637754,0.3070665490547014,0.2586244353082308,0.11505181420311948,0.903529411764706,0.9038062993768202,0.8601372104069653,0.18428971504583297,1.0695971299200002,1.0537529448944736
122,0.5071605187466922,0.6914203316520547,0.34834953549755054,0.5074286175996929,0.9996285619116696,0.5405685634250776,0.10919165204025508,0.11167725540039602,0.9164086687294118,0.9170433007706212,0.8472561482894193,0.1395991554184728,1.06404929512,1.0803786253686425
66,0.2809204218600192,0.45958904109589044,0.4132809832706702,0.2817117635770486,0.9969266493650225,0.29480299911777647,0.37070580173629114,0.15936149936487845,0.9323529411764706,0.9320175438587885,0.8324925674477809,0.26290432682223425,1.1004346598299999,1.0542927184158495
85,0.40151486097794825,0.1009109589041096,0.06428516558551307,0.4018422567645365,0.9884624140601901,0.5007350779180385,0.17660689812716,0.145261435832459,0.7834313725490196,0.7835226223446136,0.991069265345322,0.17872715816014423,1.0273625346600002,1.0217451202598506
86,0.4031959092364334,0.12284510010547946,0.07603014943406007,0.4035250874626751,0.9695793741693702,0.502499264921713,0.49598809900502144,0.6843146645835886,0.7836098542,0.7840317730894423,0.9905327286926798,0.5163884984296978,1.0253656220899998,1.024996719996409
133,0.3993288590604027,0.11222602739726029,0.07134474223283177,0.3995394358088658,0.9817761690116983,0.500018376947736,0.2903608953862863,0.2437485705212754,0.7799019607843138,0.7811288088635447,0.9949644171734879,0.2955261499686492,1.02689108122,1.0233773820271763
92,0.4024352828379674,0.09460958904109588,0.060025606008866486,0.40280176549606606,0.9756658926377956,0.5015951190824016,0.33028551850190063,0.30119377382503326,0.7837254901960785,0.7843271006456285,0.9905887479617288,0.33573829027532853,1.02257919237,1.022604959962345
26,0.3998524964970278,0.10373024236027396,0.0659571394805623,0.39986419261101513,0.9818821164269875,0.49985298441524556,0.27023930843053473,0.29242791516013017,0.7803921568627451,0.7811137154622058,0.9945279484972136,0.2739809025256112,1.0258697088200002,1.0224960054370744
146,0.40189280301821667,0.09870967741945207,0.06282723378010194,0.40212701419458835,0.9779350314977878,0.5013515948814314,0.3345731590519274,0.2924777636598379,0.7831752055647061,0.7832112113890274,0.9920594809441475,0.3380101090175583,1.0279202795,1.0231427037752088
119,0.2825785347697028,0.5671232876712329,0.5063663567165404,0.2827502906743427,0.9979725259863403,0.3050054482242113,0.3035095262411635,0.12448538754779476,0.9056516724352941,0.906740535550871,0.857670399273128,0.21760134425552277,1.0342303410200002,1.0552495383577616
62,0.40038350910834136,0.10115911485780822,0.06449168789553353,0.4006317995962387,0.9860429603639733,0.5012496324603788,0.21888990406598346,0.17269597302343417,0.7805429864235294,0.7806005398104057,0.9950147554191042,0.22117808152799892,1.0367557864,1.02204329634099
51,0.27073003698101633,0.7012818003917809,0.6653538506552295,0.2708007785730186,0.9983576274389654,0.30906876128801425,0.3242005481953625,0.11824705028166231,0.8581232492980393,0.8581288748200756,0.9066509427165367,0.21915038857383906,1.07607827474,1.0562028528919378
97,0.40118620259098753,0.10212169480739726,0.06363390950166205,0.40154770989829197,0.9861468918658629,0.5008239710618196,0.21376225737584625,0.15540273632596618,0.7828545371647059,0.7830863879401356,0.992103549253545,0.2213539758603347,1.02244392004,1.021926659419116
128,0.5205177372962608,0.5054794520547945,0.2425529190849705,0.5206294377278833,0.9994308609936712,0.5552043516610312,0.09071779351310252,0.12234275730638162,0.9161764705882354,0.9182825484756063,0.8467733946369301,0.12083858433108635,1.0282077785400001,1.0653832380890167
90,0.9949602969741131,0.012174218475589041,0.003073508942401318,0.9953303908393782,0.9597166329859236,0.9994609428600414,0.026864696442596495,0.034897882253334046,0.9727501256901961,0.9730212846519178,0.7984204457913349,0.06851030541953818,1.0267344817100001,1.026693791774437
45,0.9952974478389263,0.013698630136986302,0.0034502267960714486,0.9965731831018998,0.9450179197487494,0.999467943600853,0.053365768235041904,0.05528605312532311,0.9732959850588236,0.9739700127484082,0.7976868294602961,0.13546173773011735,1.0354132601100001,1.0232934401144713
56,0.28364923666960695,0.5880927291890411,0.5222443995060562,0.2837783977677989,0.9992960188286664,0.3067480152894854,0.2026425835471929,0.11128677548634218,0.9036199095019607,0.9056040912018416,0.8592439525478944,0.1460029809512424,1.09201475433,1.0524577699833122
59,0.40153403643336527,0.09942044257123289,0.06328623578535962,0.40187178010976776,0.9781835884824438,0.5008820935018374,0.31723477527511845,0.28746798944427887,0.7831070889882353,0.7833777256897199,0.9913743449560352,0.32040780055908447,1.0245972135899999,1.0229907633199422
8,0.40231201205292433,0.09535812133068494,0.060598449007517804,0.4026646928205718,0.973952296394477,0.5011719242245658,0.34881681132969283,0.3262432383376191,0.7838655462196079,0.783847777337134,0.9903532240192437,0.3541902961564557,1.02100355276,1.0228163801637742
