,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
1043,1.0290000000000001,0.868,0.6121666666669999,0.704499437566469,0.0173666666667,1.4183333333300001,0.2045,0.0100916666667,0.993,0.708833333333,0.6957383333333,1.0007645782799999,1.0299602124179124
1234,0.971571428571,1.1057142857100002,0.581142857143,0.5259770114928138,0.022099999999999998,1.9028571428599999,0.949714285714,0.00011059999999999999,0.526428571429,0.9512857142860001,0.6795757142856,1.08336295239,1.0977751956555488
2064,1.0483333333299998,0.8883333333329999,0.6241666666669999,0.7012021857901639,0.0177833333333,1.425,0.18983333333299998,0.00953833333333,0.9936666666670001,0.7120000000000001,0.65635,1.0962524787799999,1.0279720118771667
1045,0.971285714286,1.0759999999999998,0.578428571429,0.5372147915042578,0.0215714285714,1.86142857143,0.931428571429,0.000110185714286,0.48,0.9315714285709998,0.6690285714281,1.1013126703799998,1.113798820303028
2069,1.0033333333299999,1.26,0.9782222222220001,0.7764705882376228,0.0251777777778,1.2866666666700002,0.603777777778,0.0014488888888900002,0.975111111111,0.643333333333,0.5705833333334,1.50540979931,1.373906815322523
1404,0.995714285714,1.00814285714,0.8758571428569999,0.8677824267805319,0.0202,1.15,0.780142857143,0.0009599999999999999,0.898285714286,0.575571428571,0.5933714285716999,1.21796328107,1.297118576485216
2068,1.0377142857100001,1.26,0.745714285714,0.5917001338689591,0.0252,1.69,0.578,0.00154714285714,0.9744285714290001,0.8455714285710001,0.6152800000004,1.2287158096600002,1.1246717916258573
959,1.016,1.014,0.89,0.8756218905449825,0.020314285714300002,1.1442857142899998,0.800142857143,0.00108171428571,0.929428571429,0.571285714286,0.5790700000000001,1.29898288124,1.2836247543798673
337,0.995714285714,1.1542857142899998,0.597,0.5182150694944869,0.0230714285714,1.9328571428599999,0.946571428571,0.00012057142857100001,0.546285714286,0.9664285714290002,0.706284285714,1.06934171429,1.067505487866608
334,0.978625,0.963,0.8055,0.837014470677837,0.019225000000000003,1.1925,0.151375,0.00430875,0.987,0.59575,0.6314850000000001,1.29563043949,1.2294533211421157
1379,1.01785714286,1.07857142857,0.8955714285709999,0.8312302839086505,0.021557142857099997,1.20571428571,0.836714285714,0.000872714285714,0.8828571428569999,0.6021428571430001,0.5496571428574,1.23868401006,1.2797797126775572
625,1.00857142857,1.07285714286,0.8261428571430001,0.7693510555109763,0.0214428571429,1.3,0.153142857143,0.00830571428571,0.993285714286,0.6497142857139999,0.6422085714284,1.1397678198299999,1.2380892043935192
708,1.03628571429,1.26428571429,0.7498571428569999,0.5915119363403352,0.0252857142857,1.69,0.848571428571,0.000560857142857,0.9288571428569999,0.844285714286,0.6279914285713,1.22975802251,1.1059143250982346
1406,0.977,1.225,0.9485,0.7725930301240401,0.0245375,1.29375,0.61325,0.001385,0.97375,0.647,0.56143,1.39198194035,1.3989363424655596
1374,1.00033333333,1.08666666667,0.597333333333,0.5496350364953474,0.021716666666699996,1.81833333333,0.9191666666670001,0.0001484,0.738,0.9103333333329999,0.5986650000003,1.0268942009100002,1.1056479042271794
626,0.977714285714,0.83,0.589571428571,0.7100591715973473,0.0166,1.41,0.20614285714299999,0.0107857142857,0.993714285714,0.7041428571430001,0.669951428571,1.11976659302,1.086107706290776
955,1.0475,1.1575,0.9640000000000001,0.8317460317460318,0.0232,1.20125,0.61275,0.003655,0.989125,0.60125,0.5526375,1.4272678248500001,1.3557046003360778
1997,1.0355,1.08125,0.90775,0.8415977961432507,0.021625000000000002,1.1925,0.898125,0.00066275,0.755375,0.5954999999999999,0.61424875,1.20387618835,1.2390216780235457
331,0.975333333333,1.0844444444399999,0.9109999999999999,0.8391566265092509,0.0217,1.19222222222,0.675777777778,0.0029077777777800004,0.982888888889,0.595666666667,0.5885166666671,1.45760217409,1.3632877490285702
