,EXEC,MEM,FREQ,L2MPI,GT,Pred
3734,0.4187134502923976,0.49050017863540213,0.34970059880239523,0.012509090909090907,1.0333113761200001,1.048603629423161
1461,0.2669172932330827,0.8705192330601539,0.4688223552891018,0.04270075757568181,1.1838160502700001,1.198066441899794
7996,0.42255639097744363,0.4923258306539808,0.3537245508982036,0.011559090909090908,1.05226747264,1.0482758238057521
1191,0.2121971595655806,0.49894902941586244,0.34762475049868263,0.0567424242425,1.05323660844,1.0523632143564572
2584,0.20800612642690056,0.4949059187815273,0.33964071856287426,0.0579166666665909,1.0571544823299999,1.052558273344374
77,0.2887218045112782,0.5015291175421585,0.346059880239521,0.018427272727272723,1.03774134062,1.0608681088439331
6233,0.8785853522723476,0.47321067047730375,0.6465469061873054,0.010344696969704546,1.15800036219,1.1392931958104193
7004,0.15201336675020882,0.46341550553785754,0.2251497005988024,0.06077272727272726,1.05078539391,1.049132961267614
2689,0.15943191311612365,0.47454448017165934,0.23952095808383234,0.042727272727272725,1.04407160483,1.0561272056171027
6644,0.4944305207460317,0.44995236393924615,0.591616766467066,0.028314393939318176,1.17427517224,1.1867490713682574
1673,0.429406850459482,0.4325503155894721,0.7249500998007187,0.6939393939386362,1.15896923157,1.2167481617570073
7544,0.49415204678362573,0.4985530546625575,0.5807584830342516,0.03231060606068182,1.10983667265,1.1167171174411208
7832,0.20866054023976607,0.5066392759324783,0.33996007984000004,0.05507575757568181,1.05662657558,1.045242082506478
454,0.6697298802564745,0.4771704180066013,0.6051896207588024,0.01734090909090909,1.13919371022,1.1350269617435698
2014,0.4208855472013367,0.4955769917829566,0.35008383233532936,0.01198181818181818,1.0618396516600002,1.0432615999114407
4294,0.41386800334168755,0.4849982136479046,0.3429940119760479,0.010477272727272727,1.05116647808,1.05488685919086
1028,0.28888888888888886,0.5143837084674935,0.351808383233533,0.01781363636363636,1.0519875222,1.0526388265698525
7707,0.2902255639097744,0.5196355841373774,0.3495089820359282,0.01604090909090909,1.0523209632200001,1.0485769201701576
6354,0.2684489000275689,0.9130344170544527,0.47153692614802395,0.03685227272727272,1.2887833668100002,1.2655720790668212
520,0.16091896407685882,0.47734548052893083,0.24507784431137727,0.04831818181818182,1.0502439199200002,1.0506576576645987
4928,0.4468462823725981,0.3568461950697952,0.7143712574850299,0.8244318181818181,1.4793465506499999,1.3913950506208157
4726,0.8935881370091896,0.3324468560201259,0.9976047904191617,0.09477272727272727,1.53604124329,1.5845776435694539
5084,0.2905597326649958,0.5111825652020404,0.35065868263473055,0.017872727272727273,1.04091315947,1.0543472587017328
6307,0.17303258145363404,0.5027545551984647,0.26079041916167667,0.04445454545454545,1.0296114269,1.0349272230687068
6074,0.6716791979949874,0.4820680004769496,0.5782035928143713,0.01728787878788636,1.08441210896,1.1132395478966215
5495,0.2919202768830409,0.9587352625937687,0.5164071856287425,0.0425616883115909,1.38985606018,1.3511923888559245
2489,0.14020050125313283,0.44976062879615925,0.2056047904191617,0.05618181818181817,1.02371307971,1.062725459278321
1164,0.8805346700083542,0.34898401214732006,0.9988023952095809,0.07630681818181818,1.60086992639,1.562894112188756
6466,0.2751322751319966,0.8738537572954176,0.4811177644713772,0.039996212121136354,1.1984227599,1.2054840921606986
6982,0.27749930381537175,0.919495057758635,0.4871856287425149,0.04418181818181818,1.2493075630700001,1.2746307115875408
2540,0.31968810916207185,0.49878230320328654,0.4568463073849102,0.01707575757575,1.1324211366099999,1.1068408355335362
4789,0.2943071965630743,0.9408717399079818,0.5169546621039521,0.039256493506590905,1.33208500691,1.3187279962346103
3723,0.2918964076858813,0.5124830296536307,0.34931736526946106,0.016977272727272723,1.0499427425599999,1.0531100824213766
4494,0.16791979949874686,0.48499821364790463,0.25638323353293413,0.05827272727272726,1.03330463569,1.038385719251045
5680,0.43501611170760235,0.40707395498424687,0.7077502138577246,0.8688311688318181,1.37960983995,1.3714213876850974
6645,0.42005012531328323,0.4896748838872774,0.35104191616766467,0.011618181818181816,1.03081088588,1.0505771719273207
2695,0.26998050682289054,0.8723949029422552,0.4772854291420359,0.04278787878795454,1.21315894339,1.2031263982361198
953,0.16125313283208018,0.48549839228313163,0.24986826347305388,0.05604545454545454,1.0361371176,1.0390062073982624
5964,0.16447786131996658,0.48387281171864377,0.2504431137724551,0.04786363636363635,1.0372206279,1.0462290736306052
1976,0.42055137844611523,0.4896998928190388,0.35238323353293416,0.012227272727272726,1.05153566332,1.0504382134752077
4841,0.44917850181035923,0.4989907109683812,0.45524950099832334,0.01360984848484091,1.08427376363,1.0781165389116079
6032,0.15842940685045948,0.47404430153643234,0.2420119760479042,0.05727272727272727,1.0471067388700002,1.0461328014172337
6240,0.28538011695906434,0.5085816362988598,0.33992814371257485,0.017690909090909087,1.07906842172,1.0535992777258887
7802,0.42255639097744363,0.4961271882817064,0.35104191616766467,0.012068181818181816,1.0589612504500001,1.0426220628709395
5666,0.27457532720718464,0.9040728831728847,0.47057884231568864,0.04042803030295454,1.17272596085,1.2447876593511986
3563,0.27360066833751046,0.9322079314044059,0.47904191616766467,0.03671969696977273,1.2793095475799998,1.2984437205439638
5572,0.2057644110275689,0.5004495653215436,0.32878243513005984,0.06212121212113636,1.07307940155,1.040882621417625
3105,0.6602617655246449,0.4820263189244309,0.5954491017964073,0.017859848484840908,1.1248227554999999,1.1241202827650703
749,0.2706766917293233,0.9109503394072566,0.485748502994012,0.04346212121204545,1.2202281603,1.264746024508188
7551,0.2918964076858813,0.5070560914614173,0.3481676646706587,0.017868181818181818,1.04859978941,1.0565158514705806
6278,0.4535147392289056,0.39665952125862686,0.7206159110352097,0.8461038961045453,1.3468300937200002,1.3642448504320113
6361,0.49081035923141186,0.4849023460757359,0.5849101796407187,0.03571969696977273,1.1685791878899998,1.1323815284164656
2341,0.25452520189390143,0.89073478623308,0.39776447105820356,0.03978787878795455,1.15534512735,1.2012642424941946
3488,0.2656641604010025,0.8732285340001333,0.4806387225552096,0.04367424242431818,1.22730965252,1.208274996306346
318,0.17451963241436924,0.4922758127904581,0.2667305389221557,0.05109090909090908,1.01722303026,1.0399178353571008
1404,0.8776571057309942,0.3270612520338789,0.9985362608095808,0.07404040404045455,1.6620675128,1.6172141669601712
763,0.2862155388471178,0.5031797070384076,0.3441437125748503,0.018209090909090907,1.06809021414,1.0594086278996808
4520,0.8665413533834586,0.35726822079326803,0.9964071856287426,0.07607954545454546,1.48944702734,1.5429936323281153
1342,0.8756613756641604,0.44136596403409833,0.652774451097485,0.00751515151515909,1.1475769009899999,1.200889898495106
6866,0.20444165970509606,0.4955103012986765,0.3299001996004791,0.06882575757568181,1.0874651588700002,1.0407054513183287
7088,0.4949874686716792,0.4231511254020805,0.5477045908186826,0.021363636363636362,1.23717570106,1.2087129438106814
3094,0.14474519632414368,0.4543622722402481,0.20694610778443118,0.05736363636363635,1.00265957026,1.0564082396998897
5912,0.4224450013926483,0.4095212575921435,0.7108982035928144,0.743181818181818,1.2460784832,1.2659345798365693
5721,0.2755499860760233,0.8917768250560528,0.4736127744507785,0.03873484848477272,1.14589391451,1.2278013268245767
7794,0.8719948018212196,0.3317434798143379,0.9985362608095808,0.08174242424249999,1.61479270537,1.599125195288137
1085,0.165062656641604,0.48587352625955194,0.2466107784431138,0.04427272727272727,1.0440632158499998,1.0458205413686728
2245,0.28888888888888886,0.5085066095035757,0.3443353293413174,0.018449999999999998,1.05212897951,1.0539331568558057
1045,0.8841548315204676,0.4386358223172342,0.6345708582831139,0.009155303030295454,1.15541711394,1.1933277248721204
4437,0.8911166805931496,0.4516821483869066,0.6390419161676647,0.009094696969704545,1.22891436202,1.171540956570504
1979,0.2969328082113617,0.9187209717768556,0.522976903336048,0.039029220779318176,1.37324677787,1.28255429913831
6741,0.15757727652464495,0.4717684887461493,0.2406706586826347,0.06081818181818181,1.0561670732100001,1.0452218056240417
2195,0.8925090504010023,0.4396778611402071,0.6382435129743712,0.009098484848477272,1.16785459104,1.192710974227817
3736,0.1705096073517126,0.4900750267954591,0.261748502994012,0.05059090909090909,1.02550430304,1.0413430956288732
4366,0.2927318295739348,0.5201357627726045,0.3516167664670659,0.0189,1.04468133832,1.0459550768669557
1568,0.28855472013366745,0.5104072883174384,0.3447185628742515,0.020154545454545453,1.0421042942,1.0510952304337584
6284,0.42172096908939016,0.4912504465882427,0.35200000000000004,0.012099999999999998,1.05482464462,1.0484422411994987
1442,0.42406015037593986,0.4960771704181836,0.35142514970059885,0.011327272727272726,1.01411612244,1.0431716846949741
7860,0.270815928710944,0.8905263784692357,0.4707385229537725,0.03740151515159091,1.22551427982,1.2281963905468802
2291,0.32762461709857976,0.5135167321668501,0.43912175648670665,0.018386363636363635,1.07037883671,1.0818101008453533
6037,0.29223057644110273,0.5107824222938588,0.34874251497005987,0.017768181818181815,1.03274740997,1.0535430968220831
65,0.42055137844611523,0.4900250089319364,0.3470179640718563,0.011586363636363636,1.05771237031,1.0484886620217069
6075,0.29239766081871343,0.5165594855307312,0.3504670658682635,0.01691363636363636,1.0407409296799999,1.0501357072361766
7823,0.29039264828738515,0.5110575205432336,0.3495089820359282,0.01869090909090909,1.04004879657,1.0533144371983474
2344,0.16905597326649957,0.489499821364948,0.2594491017964072,0.05354545454545454,1.0300312139899999,1.0390431233671984
1271,0.41904761904761906,0.4887495534121074,0.3516167664670659,0.012077272727272726,1.04850080534,1.0516318289264202
7779,0.27123363965497077,0.8569727283552544,0.4859081836330539,0.03929924242431818,1.17196644809,1.1882234765378414
7833,0.16290726817042606,0.4835727045375075,0.24105389221556886,0.044954545454545455,1.03755465558,1.045836644370409
5022,0.4493177387911445,0.4970108372031072,0.4475848303396407,0.013939393939386363,1.08179039878,1.0763120873069645
2201,0.28888888888888886,0.5081314755271554,0.3439520958083832,0.01818181818181818,1.0780691437799998,1.0543281398820763
7314,0.867048573817878,0.4275098249367373,0.6968006843458683,0.009545454545454544,1.28484677553,1.250922753912743
3743,0.9051332033751044,0.2975368187058941,0.9974717232191617,0.07305555555545455,1.7001768268700002,1.6924333905666624
525,0.4430122926365915,0.39712397284669415,0.7228058169379641,0.7795454545454544,1.32731603612,1.3100865233505197
4430,0.2655249234193817,0.8436346314167001,0.4823952095808383,0.03965909090909091,1.21542289281,1.1729164989246081
2916,0.28888888888888886,0.5048302965346569,0.343377245508982,0.018486363636363634,1.04883263202,1.0567128878758703
666,0.42105263157894735,0.49385137549142333,0.348934131736527,0.012750000000000001,1.0352507123799999,1.043926738573551
7236,0.29507101086048454,0.5147588424439138,0.3564071856287426,0.017495454545454543,1.0620620596299999,1.0529153182934496
949,0.2905597326649958,0.5086316541623824,0.34970059880239523,0.016777272727272727,1.05594908814,1.0570689937895434
6249,0.16883876357560568,0.49597713469113824,0.2604071856287425,0.05786363636363636,1.02585426457,1.0308035945990972
826,0.658590921748538,0.4468887697997309,0.5730938123755689,0.017674242424249996,1.1432472075700002,1.1642278411491427
7546,0.2766638819273183,0.910116708348128,0.4906986027947305,0.04280303030295454,1.22465473919,1.2624273241300237
948,0.8592314118629908,0.36489594498048045,0.9964071856287426,0.11559659090909088,1.47187868784,1.4938002946414894
7045,0.8813700918964076,0.471856020007314,0.6489421157681436,0.009352272727272726,1.15962652588,1.1434593357403848
2345,0.48989139515455304,0.4834726688104621,0.4738682634730539,0.01465,1.11107544531,1.095022738364743
695,0.6549707602339181,0.46048946052177936,0.48095808383233535,0.01329090909090909,1.08732078543,1.1018605695713501
1054,0.2902255639097744,0.5141836370134028,0.3449101796407186,0.01843181818181818,1.05190904303,1.0490447880526437
1042,0.4195488721804511,0.4887995712756301,0.34970059880239523,0.012245454545454544,1.02146995405,1.0505432576567177
4412,0.48354218880534666,0.4814469453377926,0.49877844311377245,0.01876363636363636,1.05948228916,1.1072750478846969
4262,0.6516290726817042,0.4670167917114923,0.5064431137724551,0.01827272727272727,1.09137853445,1.1002606496886478
3668,0.2895572263993317,0.5083315469812463,0.348934131736527,0.0186,1.0609351893999999,1.0556978703868625
1077,0.16912280701754387,0.48644873169006303,0.2609820359281437,0.05272727272727272,1.04342457444,1.0428299594554835
6726,0.1664160401002506,0.49987852804590927,0.24891017964071854,0.04868181818181818,1.03079423549,1.0312628655249152
5661,0.45126705653049287,0.49503096343908365,0.44806387225580835,0.011401515151522728,1.0472575775,1.0805411481814575
5965,0.28905597326649957,0.5117577706325516,0.3449101796407186,0.018477272727272728,1.03486269274,1.0513364461218566
3511,0.26858813700918965,0.8805228057634443,0.4594011976047904,0.04103409090909091,1.1708642436299999,1.2071172409666215
4790,0.44597605123893064,0.4958020721688088,0.4504590818366467,0.013393939393931818,1.09060524646,1.0802002097710384
2882,0.16825396825396824,0.49252590210807157,0.2515928143712575,0.055318181818181815,1.02918073741,1.032477925844517
2520,0.2941878505789473,0.9317613433374176,0.5209238665523354,0.03801298701295454,1.3553769418000001,1.3057160795584357
3211,0.17709273182957394,0.4989782065025005,0.26577245508982034,0.05368181818181818,1.0218073099,1.031421562918901
7289,0.2927318295739348,0.5162343694178336,0.3516167664670659,0.019372727272727267,1.04904706931,1.048696171870559
6251,0.6633249791144528,0.48346433250070864,0.5868263473053893,0.01801893939393182,1.1386419890200001,1.1167708497531132
184,0.20722639933166248,0.4987406216507677,0.3364471057887425,0.05208333333340909,1.07163454043,1.0527509469255645
5136,0.4238373712055138,0.4604769560558987,0.7147305389221558,0.7632575757568181,1.2168514411700002,1.2366250009783961
7555,0.28253968253968254,0.5042050732406232,0.3424191616766467,0.017472727272727268,1.0735497125799998,1.0593485722566378
4516,0.5242272347535505,0.46656246278491126,0.5521756487022754,0.0228825757575,1.18765263757,1.1419474877476885
6180,0.29172932330827067,0.5138335119687438,0.35104191616766467,0.01855,1.02898020608,1.0513990579079568
1106,0.2684489000275689,0.8940693104683436,0.46658682634730547,0.04384469696977273,1.2283067379500001,1.2294128759051097
1118,0.16720133667502088,0.48634869596301766,0.2565748502994012,0.04636363636363635,1.03223167439,1.0468132143385345
