,EXEC,MEM,FREQ,L2MISS,L3MISS,INST,INSTnom%,L3HIT,PhysIPC%,L3MPI,L2MPI,IPC,GT,Pred
1726,0.28604845446950705,0.4980028581638078,0.34203592814371264,0.012358366271409751,0.28032520325203253,0.4742861912738154,0.2866220735785953,0.6558232931726907,0.45737855178735104,0.07478510028653294,0.017099999999999997,0.4577981651376146,1.03022878983,1.0454767301337944
5816,0.6672236145923142,0.43967786114145757,0.5576047904191618,0.025274483970144927,0.2214584873126386,0.33278320509325904,0.6675027870685619,0.8468875502008032,0.6712496180870761,0.025604902897086914,0.015871212121204546,0.6714831804266055,1.14203442441,1.153530667404063
5614,0.28404344193817876,0.47549481957859074,0.3472095808383234,0.010424242424242426,0.20960827790096087,0.4856384086694285,0.2846153846153846,0.6686746987951806,0.45389550870760775,0.05717287488061127,0.014486363636363634,0.45440366972477064,1.06867114725,1.045864743293293
3382,0.16771929824561402,0.48679885673472195,0.2550419161676647,0.019552042160737814,0.2883665927568367,0.6041780391412431,0.16785953177257526,0.7783132530120482,0.34793767186067825,0.14083094555873923,0.05131818181818181,0.3485321100917431,1.03583355771,1.0273811790020353
7497,0.8881927039849625,0.4769411694658724,0.6580439121753293,0.020026350461133068,0.30202020202069474,0.2956399815992306,0.8887959866220736,0.7838018741636547,0.7485487320504124,0.02617796879966571,0.009446969696977272,0.7490825688073394,1.13505768381,1.1640355920339056
81,0.2934001670843776,0.5158842443731746,0.35295808383233535,0.013233201581027669,0.29726533628972657,0.47710853776811335,0.29397993311036785,0.6542168674698795,0.4595783684692942,0.07533428844317096,0.017372727272727272,0.460091743119266,1.02725777927,1.0480089097527154
471,0.1241436925647452,0.4187745623438438,0.17647904191616767,0.015984189723320157,0.2313377679231338,0.5648489860721655,0.12408026755852844,0.7648594377510041,0.3655362053162237,0.16227316141356257,0.05554545454545454,0.3662385321100917,1.10756313567,1.0464960034230395
5275,0.287719298245614,0.4924508753127876,0.3443353293413174,0.013949934123847166,0.26847006651884703,0.47509201816638846,0.28762541806020064,0.6961847389558233,0.45811182401466544,0.0719388729703916,0.01901363636363636,0.4585321100917431,1.04515776735,1.0296819487959872
2085,0.4295460874411027,0.3955370965826707,0.6966866267468264,0.8001756697417656,0.23986203498447894,0.6435677403519189,0.4300445930886288,0.9981593038825302,0.32661167124931256,0.04721824259789876,0.8113636363636363,0.3268348623853211,1.20448802213,1.231885093385018
1919,0.2852130325814536,0.48349767774222346,0.3429940119760479,0.012674571805006586,0.2635328898743533,0.47783465280970633,0.2852842809364548,0.6803212851405622,0.45646196150320806,0.0712989493791786,0.01756363636363636,0.45724770642201834,1.07839663445,1.0394873424086581
7670,0.2653856864385965,0.8999047278797426,0.4418363273456287,0.024541062801923585,0.5915989159896526,0.6628029732202886,0.26585841694481605,0.5799866131194779,0.34341582645921176,0.213387456224212,0.040772727272727266,0.3440366972477064,1.21815803511,1.2045122795252348
6333,0.28888888888888886,0.49825294748142135,0.34452694610778445,0.013027667984189722,0.2675831485587583,0.4732049565158216,0.28896321070234116,0.6688755020080321,0.4588450962419799,0.07118433619866285,0.017295454545454544,0.4591743119266054,1.03495937908,1.037583153098137
4855,0.4241158451687552,0.412814100273638,0.7006786427142515,0.7843653930619237,0.2893816210894309,0.6557617636318677,0.42447045707859526,0.9971552878182731,0.32141765963978003,0.05826170009551099,0.8075757575750001,0.32171253822614676,1.2313772486799999,1.2347498072502698
7015,0.1541687552213868,0.46641657734921993,0.22840718562874252,0.018266139657444006,0.26586844050258684,0.5880055706056891,0.15411371237458196,0.7883534136546185,0.35288725939505045,0.14331423113658073,0.05418181818181817,0.35348623853211003,1.0298600472,1.0359953001253601
6837,0.2908939014202172,0.5101071811363023,0.346059880239521,0.013491436100131753,0.29008130081300815,0.47227004302088876,0.2909698996655518,0.6676706827309238,0.4595783684692942,0.07587392550143267,0.01815,0.4595412844036697,1.02086138839,1.0359609248447637
1814,0.26970203285964905,0.8936524949381542,0.45652694610778444,0.024628897672384718,0.5881744271988174,0.6732180415950488,0.26989966555183953,0.5754685408303213,0.3411243507488543,0.21358643744030564,0.041625,0.34136085626926604,1.2300601121799999,1.2056427278215462
2025,0.41971595655806176,0.47732047159716945,0.34855089820359286,0.012668774703557314,0.2705691056910569,0.32990139104139893,0.4193979933110368,0.6345381526104418,0.6876260311640696,0.049350525310410696,0.011881818181818181,0.6899082568807339,1.02532345214,1.025728166520318
117,0.27123363965497077,0.9532571156364605,0.4844710578845509,0.028199385155994728,0.6558265582660754,0.7089779642984001,0.27126532887458193,0.5461847389558233,0.34998472349495874,0.1766555237184814,0.038821969697045454,0.3501529051986238,1.21992437281,1.319474306987395
6818,0.2733221943751044,0.9005299511737765,0.47792415169628744,0.026714975845322793,0.5912047302291205,0.6952162485617519,0.27369007803846157,0.5965528781797189,0.33501374885426216,0.2066618911174785,0.045015151515227274,0.33532110091743117,1.20302713016,1.2009588300585987
