,EXEC,L3HIT,MEM,L3MPI,INST,GT,Pred
4205,0.6526315789473683,0.8156626506024096,0.4293033226153731,0.0294937917860554,0.29350782843666334,1.09698130347,1.086513750023171
1526,0.16036758563074352,0.7690763052208834,0.4453340478743999,0.1264087870105062,0.6150602314343859,1.0205451063700002,1.0263071186596808
1661,0.1558897243107769,0.8126506024096386,0.4448088603074115,0.13161413562559696,0.6086223452647516,1.0123400425799998,1.0429699171361118
2047,0.15861319966583123,0.8024096385542169,0.44403358342280963,0.12908309455587394,0.6275996267679996,1.04356737843,1.0425330174018836
7594,0.6412698412698412,0.7909638554216867,0.4297534833870774,0.029847182425978988,0.30094538536142534,1.12438666934,1.0870321822257272
3813,0.1439766081871345,0.814859437751004,0.4344551625582117,0.14823304680038202,0.5978916646768369,1.06344578951,1.0508425361543705
2877,0.6307435254803676,0.7777108433734939,0.42897820650247553,0.02952244508118434,0.3135607319898164,1.06661700935,1.0916837062480798
1801,0.8771929824561403,0.9912507171546184,0.3205251875663882,0.015022513303319007,0.45110566990698564,1.41526543674,1.4863308956594397
2283,0.41453634085213026,0.6321285140562249,0.4426330832441739,0.0463658070678128,0.33064913551354996,1.02791494602,1.0254911426100404
2397,0.8792218641854636,0.9860872059668676,0.3033762057875325,0.01838586437440306,0.4499747937878697,1.53131066002,1.5591884652893255
7217,0.25619604567000837,0.5881860776435743,0.8761462427064581,0.1876790830945559,0.6581003498565621,1.21604118442,1.1705231693391296
1231,0.41353383458646614,0.6343373493975903,0.4412575919972995,0.04738299904489016,0.3302236732956835,1.0025677372600001,1.025636818267888
2148,0.28721804511278193,0.6738955823293173,0.4621150410862673,0.07164278892072588,0.48454977285599915,1.0336293174200002,1.0338582980922633
4815,0.1649624060150376,0.7449799196787149,0.4449088960344569,0.1309933142311366,0.6127240971133222,1.00050758954,1.0257074788392684
2152,0.14664995822890559,0.7981927710843374,0.43515541264752955,0.14183381088825217,0.5972261073037711,1.05704486653,1.0379655368300527
2154,0.15331662489557227,0.7849397590361447,0.44238299392656033,0.14006685768863422,0.6185061589612088,1.03484624186,1.0387126083502847
1125,0.4720133667502088,0.7953815261044177,0.45096105752070414,0.042545367717287494,0.42892818562316126,1.03286034693,1.0729242659148472
5425,0.1630409356725146,0.8060240963855422,0.44668453018951293,0.12726838586437442,0.6230439385361994,1.02854736053,1.0443445850459845
5362,0.15323308270676692,0.7947791164658634,0.45866380850320065,0.1371060171919771,0.5866301476692577,1.0406701385,1.0251175168223394
6902,0.2663603453074352,0.547858099063253,0.9140764558774256,0.16396052212679083,0.7287626964595109,1.27872949686,1.250860416986939
3939,0.8913951545530492,0.9919678714859438,0.31613076098582216,0.014698458179823307,0.4435578027824091,1.4933992812999999,1.5053939920252937
4783,0.8989139515455303,0.803012048192771,0.44153269024667435,0.021542502387774595,0.25689975761270917,1.05779362579,1.0769452374151391
