,EXEC,L2MISS,IPC,PhysIPC%,FREQ,L2MPI,MEM,L3HIT,L3MISS,INST,L3MPI,INSTnom%,GT,Pred
87,0.484,0.713628318583818,0.4021739130434783,0.4036231884057972,0.6929384526333425,0.6459502806738756,0.027571580063626724,1.0,0.018361218361218363,0.5781085507522377,0.01233093525179856,0.484,1.1941282077700002,1.147719841228779
361,1.0,0.257734513274245,0.5978260869565217,0.5978260869565217,0.9656569554308448,0.11186848436251477,0.026751502297631673,0.9990000000000001,0.015581295581295583,0.39058716055544246,0.005007194244604317,1.0,1.1630528575399999,1.3707001547646378
449,0.46199999999999997,0.011086725663712889,0.9239130434782609,0.9275362318840581,0.28863592513976905,0.010429029671215088,0.032223400494874516,0.965,0.020420420420420422,0.2537827715355805,0.014172661870503598,0.4626666666666667,0.9353380415129999,0.9910681305430702
106,0.3506666666666667,0.0121061946902612,0.7246376811594204,0.723913043478261,0.279085471734409,0.015192461908586684,0.051891127606928246,0.961,0.024882024882024883,0.32332052895847946,0.023165467625899282,0.3506666666666667,1.03039262529,1.0090258676726624
462,0.35733333333333334,0.011819469026544486,0.7355072463768115,0.7318840579710145,0.28014663322389344,0.014109863672820412,0.04934605867797808,0.9570000000000001,0.026941226941226942,0.31785103589291264,0.023741007194244608,0.35733333333333334,0.944993578069,1.0054070555278625
624,0.3953333333333333,0.010672566371677636,0.8007246376811594,0.7971014492753624,0.28545244067131564,0.011836407377711241,0.03147401908801697,0.968,0.017674817674817676,0.2922423740015907,0.014532374100719425,0.39599999999999996,0.949816548858,0.9995118622146589
235,0.3413333333333333,0.01893982300884285,0.6992753623188406,0.6992753623188406,0.28173837545812014,0.024538893344035497,0.03859314245316367,0.9805,0.019734019734019736,0.3342256461482629,0.018848920863309353,0.3413333333333333,1.04540055589,1.0146945399564133
102,0.37800000000000006,0.01204247787610193,0.7644927536231885,0.7681159420289856,0.28545244067131564,0.014073777064961537,0.5033580770590315,0.7490000000000001,0.15855855855855858,0.3053109177044333,0.1371223021582734,0.37866666666666665,1.04213139444,1.011749256231067
625,0.6606666666666666,0.01373097345132257,0.6775362318840581,0.6775362318840581,0.5624155894267558,0.00912991178829556,0.03171438670908448,0.975,0.018018018018018018,0.34575688664344045,0.008906474820143884,0.6613333333333333,0.96161285916,1.0504170242607451
96,0.47266666666666673,0.010545132743359097,0.9673913043478262,0.9637681159420292,0.28226895620286235,0.009779470729755324,0.03236479321314952,0.9670000000000001,0.018532818532818535,0.24168948303367663,0.012719424460431655,0.47333333333333333,1.02914359907,0.9923140657080477
478,0.36000000000000004,0.010194690265483116,0.7355072463768115,0.7318840579710145,0.28226895620286235,0.012341619887735503,0.05019441498762814,0.9540000000000001,0.024195624195624196,0.3184692537196822,0.02172661870503597,0.36000000000000004,1.0163787833700002,1.0055493710377756
472,0.40399999999999997,0.4938053097343384,0.5507246376811594,0.5507246376811594,0.42340343430429345,0.5340817963113609,0.03160127253446447,0.9990000000000001,0.01904761904761905,0.42338094331238496,0.01525179856115108,0.40399999999999997,0.979468295993,1.0395326404153007
120,0.458,0.016056637168135907,0.9365942028985508,0.9384057971014493,0.28226895620286235,0.015535284683246001,0.027027218098267938,0.9815,0.015958815958815962,0.24981224577491953,0.011424460431654676,0.458,1.01786871638,0.9931155844837365
125,0.351,0.0181592920353918,0.7192028985507247,0.7192028985507247,0.2812077947133779,0.022481956696079587,0.044156945917285265,0.9765,0.022565422565422568,0.3254258101241189,0.020719424460431658,0.3506666666666667,1.0475601588099999,1.010358175090402
230,0.34400000000000003,0.02094690265485984,0.7047101449275364,0.7039855072463769,0.28226895620286235,0.026794306335215234,0.0399858607281725,0.9815,0.020506220506220505,0.3322596938057347,0.01942446043165468,0.34400000000000003,1.0426410373200001,1.0132498756376245
113,0.4613333333333334,0.01640707964601189,0.9474637681159421,0.9456521739130435,0.2812077947133779,0.015499198075387128,0.027910922587486744,0.982,0.01588159588159588,0.2467929918110836,0.011100719424460432,0.46199999999999997,1.02651995647,0.9929448975778501
104,0.35000000000000003,0.012201769911500104,0.713768115942029,0.7144927536231884,0.28226895620286235,0.015192461908586684,0.0496288441145281,0.9620000000000001,0.024024024024024027,0.32721893404347097,0.022158273381294964,0.34933333333333333,1.06720462218,1.0096105608868238
88,0.3566666666666667,0.008792920353979187,0.7318840579710145,0.7318840579710145,0.28014663322389344,0.010681635926227217,0.544361965358784,0.6659999999999999,0.15083655083655084,0.3188017267368865,0.1353956834532374,0.35600000000000004,1.08962762868,1.021336770736
479,0.47600000000000003,0.008792920353979187,0.9746376811594204,0.9710144927536233,0.28226895620286235,0.008083400160388166,0.031162955107811946,0.963,0.01685113685113685,0.23972452788706136,0.011496402877697843,0.47600000000000003,0.984354607034,0.9928521266126569
227,0.468,0.5893805309732426,0.3858695652173913,0.3858695652173913,0.7003665830597336,0.5467121090619674,0.0263768115942029,0.9995,0.0299013299013299,0.6055458601171986,0.020618705035971224,0.4686666666666666,1.0623911352600002,1.1277106076059646
358,0.36199999999999993,0.007614159292032702,0.7427536231884058,0.746376811594203,0.2812077947133779,0.009238171611872188,0.047649346058677974,0.9470000000000001,0.02145002145002145,0.3143155764763069,0.019280575539568346,0.3626666666666667,1.03843345959,1.0051725069109307
468,0.36333333333333334,0.011596460176987044,0.75,0.746376811594203,0.279085471734409,0.013640737770655028,0.5372923294450336,0.741,0.15735735735735737,0.31189633114735704,0.1368345323741007,0.3626666666666667,0.9885868640019999,1.022295446559684
117,0.4443333333333333,0.015530973451321933,0.9039855072463769,0.9057971014492754,0.2833301176923468,0.015481154771457692,0.028052315305761754,0.98,0.016696696696696697,0.2589368754598453,0.012345323741007193,0.44399999999999995,1.0303196310200002,0.9936298615152875
448,0.3206666666666667,0.21440707964594177,0.6521739130434784,0.6514492753623189,0.2833301176923468,0.29374498797124854,0.030484270060091908,0.998,0.018876018876018877,0.35931816054407717,0.019136690647482017,0.32,0.9504357041079999,1.018390773494205
123,0.32566666666666666,0.03482123893804077,0.6630434782608696,0.6623188405797102,0.2843912791818312,0.04924017642343594,0.7387769529869211,0.6425,0.6718146718146718,0.3533387289407855,0.7079136690647483,0.3253333333333333,1.04714317155,1.0547461665149762
466,0.4633333333333333,0.008251327433625397,0.9420289855072465,0.9420289855072465,0.2833301176923468,0.007902967121093785,0.03329798515376458,0.953,0.020420420420420422,0.2472403015672085,0.014388489208633094,0.46399999999999997,0.952694839938,0.9908427609868014
239,0.43766666666666665,0.017569911504418556,0.891304347826087,0.891304347826087,0.2833301176923468,0.01768243785084911,0.023442912689996466,0.9845,0.014688974688974689,0.26209881715652045,0.010942446043165467,0.4373333333333333,1.0425955288700002,0.9941878957168684
636,0.3993333333333333,0.007646017699112336,0.8152173913043479,0.8115942028985509,0.2833301176923468,0.00837209302325917,0.03131848709791445,0.9520000000000001,0.018361218361218363,0.28662232834771395,0.014964028776978418,0.39866666666666667,0.9348516273749999,0.9969975578708318
453,0.3706666666666667,0.009430088495571882,0.7572463768115942,0.7608695652173914,0.2812077947133779,0.011114675220533726,0.5061859314245316,0.693,0.15083655083655084,0.3078498858350315,0.13151079136690647,0.3706666666666667,0.969597332158,1.0121826111659755
98,0.3873333333333333,0.011883185840703756,0.7934782608695653,0.7898550724637682,0.28226895620286235,0.013315958299925145,0.03247790738776953,0.9670000000000001,0.02059202059202059,0.29577468506705934,0.01697841726618705,0.38666666666666666,1.02517242275,1.0001040323927615
343,0.38566666666666666,0.5129203539821192,0.5289855072463768,0.5289855072463768,0.4207505305805824,0.5755813953490679,0.027267585719335453,0.9990000000000001,0.016936936936936937,0.44274122279068423,0.0140431654676259,0.3853333333333333,1.0195322479,1.0702451334410945
107,0.35733333333333334,0.012998230088490973,0.7282608695652174,0.7318840579710145,0.28226895620286235,0.015878107457905324,0.04609402615765287,0.965,0.023852423852423855,0.32086891440432996,0.021582733812949638,0.35733333333333334,1.04647286419,1.0075774724336584
637,0.4106666666666667,0.4109734513272881,0.5652173913043479,0.5652173913043479,0.4191587883463557,0.4366479550923964,0.031261930010604455,0.9990000000000001,0.019562419562419563,0.4142612800054106,0.01525179856115108,0.4106666666666667,0.9318295612649999,1.0119953033078608
82,0.37733333333333335,0.006722123893802929,0.7572463768115942,0.7536231884057972,0.28757476365028456,0.007758620689658283,0.04977023683280311,0.9329999999999999,0.022822822822822827,0.3088354831367776,0.019568345323741007,0.37733333333333335,1.063827782,0.9989109265304509
236,0.3406666666666667,0.019895575221231893,0.6956521739130435,0.6960144927536233,0.28226895620286235,0.025639534883731212,0.04145634499823259,0.9795,0.02145002145002145,0.33581771845180797,0.02050359712230216,0.3406666666666667,1.0617818909,1.0143336612953813
90,0.40599999999999997,0.005065486725661923,0.8188405797101449,0.8188405797101449,0.28651360216080013,0.0055212510024079875,0.03321314952279958,0.922,0.019905619905619905,0.2853815390475074,0.016115107913669064,0.4066666666666667,1.04192487531,0.992188017053464
348,0.9966666666666667,0.26538053097335734,0.5905797101449275,0.591304347826087,0.9714933436230092,0.11818364073781804,0.022651113467656418,0.9990000000000001,0.0141999141999142,0.3942248440656265,0.004683453237410072,0.9953333333333334,1.19595921965,1.370478519274207
457,0.455,0.8315044247784666,0.3786231884057971,0.37826086956521743,0.6934690333780846,0.8065356856458726,0.019137504418522445,1.0,0.01408837408837409,0.6176373405472625,0.010115107913669064,0.4546666666666667,1.3161557286799999,1.2541621980515614
232,0.3093333333333333,0.039966371681401776,0.5271739130434784,0.5268115942028986,0.35973374493522675,0.05629510825984615,0.7790738776952987,0.6795,0.7653367653367654,0.47153114890365294,0.7762589928057554,0.30866666666666664,1.05217202345,1.0554775293449126
460,0.39999999999999997,0.484247787610448,0.5471014492753624,0.5485507246376812,0.42021994983584016,0.5304731355254733,0.030795334040296926,0.9990000000000001,0.020077220077220077,0.425964171410716,0.01640287769784173,0.39999999999999997,0.942407238287,1.0422442788853732
237,0.4563333333333333,0.018971681415922485,0.9347826086956522,0.9347826086956522,0.28173837545812014,0.017935044105861237,0.024729586426299046,0.985,0.015512655512655512,0.24921253094648635,0.010877697841726618,0.4566666666666667,1.03895295678,0.9923443609582836
124,0.3473333333333333,0.017649557522117644,0.7119565217391305,0.7112318840579711,0.28173837545812014,0.02208500400963195,0.044524566984800285,0.9765,0.02187902187902188,0.3286585168472062,0.020215827338129495,0.3473333333333333,1.0319812981799998,1.0117842491569136
338,0.36400000000000005,0.015753982300879377,0.7445652173913044,0.746376811594203,0.28173837545812014,0.019252205292710205,0.025775892541534114,0.9815,0.01504933504933505,0.3142619796557634,0.013589928057553958,0.36400000000000005,1.0424881209899999,1.0089068031085604
464,0.47800000000000004,0.008155752212386493,0.9855072463768118,0.9855072463768118,0.28014663322389344,0.007325581395351773,0.028985507246376815,0.958,0.01784641784641785,0.2365771599060496,0.011942446043165468,0.47866666666666663,0.975324788138,0.9927143311661114
