,EXEC,L2MISS,L3MISS,L3MPI,INST,PhysIPC%,L3HIT,IPC,INSTnom%,MEM,FREQ,L2MPI,GT,Pred
542,0.35333333333333333,0.020899115044240385,0.010570570570570571,0.009808153477223022,0.3217728418922392,0.7246376811594204,0.9906666666670001,0.7258454106268116,0.3537777777773334,0.017282903263810535,0.2808540742172368,0.026174819566959173,1.00812881829,1.0175893061206929
144,0.31142857142866665,0.05190189633364534,0.612955812955813,0.6214388489208633,0.7507398331180902,0.4064182194615942,0.8122857142859999,0.40646997929710144,0.31123809523866663,0.7639246578805232,0.5778782282730743,0.07159582999200946,1.2438234423999999,1.167462937455591
608,0.6271851851853333,0.03319292035400594,0.006373993040652081,0.0033701039168633094,0.35934511105026845,0.6509661835746378,0.9965555555560001,0.6505636070869566,0.6271111111106666,0.010612309021633086,0.555694899993708,0.02370890136328136,1.05814659943,1.0316039099980203
414,0.42844444444466667,0.022534513274317686,0.01264121264121836,0.009659472422057554,0.2659286782246158,0.8792270531376812,0.9896666666670001,0.8780193236702899,0.42844444444400004,0.02110050665723577,0.2812077947133779,0.023287890938249116,1.02241954185,1.0142481316576113
684,0.3118,0.037752212389367164,0.006241098241098242,0.006562589928057554,0.3651096789004438,0.64,0.997,0.6402173913043478,0.3117333333333333,0.009248497702368328,0.28099556241548096,0.05362469927828934,1.02573631259,1.0184384136007456
678,0.29436363636333335,0.04169975864844541,0.4276900276894037,0.49280575539568344,0.5836340088269562,0.4822134387355073,0.833636363636,0.48241106719202903,0.29430303030266663,0.609274076930364,0.4239822496617117,0.06364365386033025,1.11812788098,1.1438049556926313
710,0.32866666666666666,0.023951150442469395,0.01911282711282711,0.018707913669064748,0.35395460018146946,0.6604347826086957,0.986,0.6608695652173914,0.32853333333333334,0.031063980205019444,0.2871502990544908,0.03238412189255509,1.01884136682,1.018486931479596
300,0.36683333333333334,0.29986725663706193,0.011012441012441013,0.009809352517985613,0.46335972401981057,0.5047101449275363,0.9990000000000001,0.5045289855072465,0.367,0.01665959703075292,0.4191587883463557,0.36077586206911016,1.00334532516,0.9648098320868346
641,0.36306666666666665,0.4574867256635548,0.00848048048048048,0.007729496402877699,0.4680442980813965,0.4995652173913044,1.0,0.4992753623188407,0.36319999999999997,0.012329445033580773,0.4193710206442526,0.5636728147556389,1.0321076402200002,1.046503202941451
295,0.9566666666666667,0.30122123893794645,0.009412269412269414,0.003197841726618705,0.41118273993065824,0.5677536231884058,0.9990000000000001,0.5679347826086957,0.9563333333333333,0.014627076705549667,0.9709627628782671,0.13839214113878845,1.16170858468,1.2461308901407613
605,0.30549206349200003,0.059103413400722435,0.6189945047087088,0.6433504624877698,0.7629860083113543,0.4128364389231885,0.829333333333,0.4125603864746377,0.30558730158666664,0.7555757545153765,0.5707027553451396,0.08361782563860609,1.24135771887,1.2179100243353123
682,0.35037037037066665,0.02445663716814355,0.006194766194766195,0.005736211031179856,0.3226843849783006,0.7236714975847827,0.9953333333329999,0.7246376811594204,0.3506666666666667,0.008679941871869918,0.278967564902362,0.0305974338412352,1.0185422955399999,1.0193970598815578
