,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
1625,0.75925,0.944375,0.754125,0.799373040752351,0.0188625,1.2525,0.84625,0.000436875,0.713875,0.625875,2.7013749999999996,1.31657094649,1.338122660233779
1532,0.7516666666670001,0.593333333333,0.4475,0.75451982086865,0.0118666666667,1.3266666666700002,0.7565,0.00172333333333,0.9338333333329999,0.663166666667,3.3151666666699997,1.07404405147,1.0696529508764172
2310,0.7575714285709999,0.8758571428569999,0.648714285714,0.7398843930602313,0.0175285714286,1.35142857143,0.692571428571,0.00112142857143,0.945428571429,0.675,2.90914285715,1.1959865923200002,1.2096655322765741
2311,0.759666666667,0.608,0.447666666667,0.7356042173557177,0.0121666666667,1.36166666667,0.746,0.0018333333333299998,0.9325,0.681166666667,3.32983333333,1.0621934567,1.0632205134685364
284,0.754428571429,0.921428571429,0.664,0.7215073529401062,0.018428571428599997,1.38714285714,0.675428571429,0.00158857142857,0.966857142857,0.693857142857,2.9111428571499998,1.2266246182,1.215449229205035
320,0.75325,0.9125,0.74825,0.8195004029008863,0.018225,1.22125,0.8495,0.000382125,0.645625,0.60975,2.55525,1.4401936470200003,1.417384736545415
1053,0.759125,0.862875,0.7555,0.8752151462994836,0.01725,1.14125,0.6375,0.0020325,0.96675,0.571125,2.686375,1.33907187538,1.3343675918375482
175,0.759666666667,0.852333333333,0.662,0.7773892773916085,0.0170333333333,1.2866666666700002,0.660666666667,0.0017216666666700002,0.9566666666670001,0.644166666667,3.18166666667,1.15128482726,1.1151742208673454
1427,0.76,0.7561428571430001,0.674714285714,0.8920134983149607,0.015128571428600001,1.12285714286,0.249142857143,0.00498428571429,0.9821428571430001,0.560571428571,2.9611428571399996,1.2008897887,1.2082957705162016
1389,0.76,0.80875,0.75525,0.9340659340659341,0.0161875,1.07,0.665375,0.00196375,0.963625,0.535375,2.67375,1.33125107901,1.3607321010096598
2356,0.76,0.838571428571,0.7548571428569999,0.902217741936295,0.0167857142857,1.11,0.535,0.00256714285714,0.973857142857,0.555571428571,2.843,1.3047932418700001,1.3033394080900962
766,0.747833333333,0.586666666667,0.441666666667,0.7529907329395945,0.011726666666700001,1.3283333333299998,0.654666666667,0.00280833333333,0.9495,0.664833333333,3.33433333333,1.07243916873,1.0622277940834977
1375,0.76,0.713285714286,0.670571428571,0.9415971394516587,0.014271428571399998,1.06485714286,0.27828571428599996,0.00528571428571,0.982714285714,0.532,2.95714285714,1.16728824468,1.1992490414043289
176,0.76,0.9491428571430001,0.753714285714,0.7943760984212503,0.018971428571400002,1.25714285714,0.147857142857,0.00731,0.993285714286,0.629,2.85757142857,1.3177076482799999,1.274011876860385
654,0.7565555555560001,0.901888888889,0.754111111111,0.8340643274868421,0.0180333333333,1.19444444444,0.796444444444,0.000531333333333,0.800666666667,0.598111111111,2.55611111111,1.40727824401,1.39965078099101
927,0.759875,0.96925,0.75825,0.7827743902439024,0.019424999999999998,1.28,0.8955,0.00032475,0.852,0.64,2.672625,1.33349398418,1.337886496531695
2022,0.755,0.5875,0.44299999999999995,0.7546693589096416,0.01175,1.325,0.726,0.00218333333333,0.943,0.663333333333,3.36716666667,1.05438127854,1.047591870384906
907,0.7594444444439999,0.946222222222,0.753111111111,0.7941585535461834,0.0189333333333,1.25888888889,0.8757777777779999,0.0004517777777780001,0.9041111111110001,0.6285555555560001,2.442111111113,1.44413779183,1.448818967973608
1739,0.76,0.8775714285709999,0.7559999999999999,0.8613766730357705,0.017542857142900003,1.16,0.634571428571,0.00173857142857,0.9640000000000001,0.580285714286,2.86514285714,1.3342520699299998,1.2843369954385082
1613,0.748833333333,0.605166666667,0.444333333333,0.7352222765021983,0.012133333333299998,1.36166666667,0.7509999999999999,0.00193666666667,0.9405,0.6809999999999999,3.2300000000000004,1.08220870238,1.1093644784185415
2028,0.76,0.861111111111,0.755888888889,0.8793235972294257,0.0172222222222,1.13888888889,0.154,0.00709222222222,0.986333333333,0.569444444444,2.356333333333,1.54889801428,1.4865333358965245
48,0.76,0.824166666667,0.5865,0.711520190025443,0.0164833333333,1.40666666667,0.656333333333,0.00146533333333,0.948,0.703166666667,3.31366666667,1.0711006648399999,1.0841679869333518
2292,0.7555,0.5710000000000001,0.446333333333,0.7821025195482947,0.011416666666700001,1.28,0.7603333333329999,0.0011884999999999999,0.877166666667,0.6403333333329999,3.3695,1.05569255468,1.0340059510919843
746,0.756166666667,0.608166666667,0.444833333333,0.7309007981728916,0.012150000000000001,1.37,0.8428333333329999,0.0011688333333299999,0.903666666667,0.684333333333,3.3811666666600004,1.0273348480700002,1.0392890312390364
2391,0.7555714285709999,0.7985714285709999,0.746,0.9322751322740742,0.0159714285714,1.07,0.253428571429,0.00483857142857,0.983714285714,0.5355714285709999,2.8055714285700004,1.31048186558,1.3120174920792067
960,0.7575,0.591333333333,0.443333333333,0.7494557025617988,0.011816666666700002,1.3383333333299998,0.739166666667,0.0020383333333299997,0.9358333333329999,0.6693333333329999,3.36166666667,1.0646993135299998,1.05307564624988
1464,0.75575,0.897875,0.75325,0.8399339933993399,0.0179625,1.19,0.815125,0.00087175,0.910625,0.59575,2.6704999999999997,1.3329324599799999,1.3466911595659212
1644,0.75975,0.9555,0.75575,0.7906614785992218,0.0191375,1.265,0.79275,0.0005434999999999999,0.72675,0.632375,2.675875,1.27124237067,1.321039817731588
2214,0.76,0.589571428571,0.44,0.7469206531076711,0.0118,1.3457142857100002,0.7091428571430001,0.00186428571429,0.9431428571430001,0.673428571429,3.2047142857199997,1.06452366665,1.1157664201040518
1139,0.7536666666670001,0.8198333333329999,0.576666666667,0.7044524669075812,0.0164166666667,1.42,0.7993333333329999,0.000863,0.906833333333,0.71,3.245,1.08545163644,1.111109358748081
2424,0.756833333333,0.5925,0.455166666667,0.7691663876793541,0.0118666666667,1.30166666667,0.722333333333,0.002225,0.942666666667,0.6508333333330001,3.31183333333,1.09155234782,1.0737643587802381
628,0.76,0.8644285714290001,0.755,0.8739002932523227,0.017271428571400002,1.1442857142899998,0.7094285714290001,0.00140571428571,0.948,0.572285714286,2.8308571428600002,1.35893220941,1.2958397166014777
1262,0.755833333333,0.8370000000000001,0.660166666667,0.7879858657243817,0.01675,1.2666666666700002,0.7709999999999999,0.0011321666666700002,0.945333333333,0.633833333333,3.16283333333,1.14824422794,1.1614253647852308
599,0.756125,0.95275,0.753875,0.7911490683229814,0.0190625,1.26375,0.86675,0.00041075,0.863,0.632,2.6331249999999997,1.32303193199,1.3610018122580243
2021,0.759714285714,0.920285714286,0.755428571429,0.8194816800722248,0.0184,1.21714285714,0.8092857142859999,0.000708142857143,0.8861428571430001,0.609142857143,2.91571428572,1.3085913805,1.2790970333574023
