,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
38,0.76,0.7170000000000001,0.672,0.9385783298799171,0.01435,1.06558333333,0.34583333333300004,0.0055225000000000005,0.9888333333329999,0.5335,2.81991666667,1.32736309065,1.311027426785385
1821,0.759538461538,0.9546153846150001,0.755692307692,0.7923444976111852,0.019069230769200002,1.26153846154,0.17076923076900002,0.00722692307692,0.994384615385,0.630923076923,2.672615384615,1.3548194799700002,1.3593830268544722
344,0.7599230769230001,0.9440000000000001,0.7550769230769999,0.7984533591103932,0.018884615384599998,1.25076923077,0.828846153846,0.000626153846154,0.923307692308,0.625,2.681000000005,1.3847009002200001,1.3726997481848053
14,0.759666666667,0.960916666667,0.755583333333,0.7861182519316938,0.019225000000000003,1.27083333333,0.86475,0.000359075,0.834916666667,0.635916666667,2.807583333337,1.30428558491,1.3168465425198421
1156,0.756363636364,0.853727272727,0.579909090909,0.6794357366772413,0.0170909090909,1.47272727273,0.640636363636,0.00172363636364,0.9668181818179999,0.736363636364,3.1019090909100004,1.16492725672,1.1576018995502415
1810,0.76,0.95125,0.753166666667,0.7919916796692669,0.0190166666667,1.2633333333299999,0.7158333333329999,0.0007625,0.9273333333329999,0.631666666667,2.777333333337,1.3123726861,1.321456920067122
92,0.76,0.964333333333,0.7555,0.7835475578422283,0.019275,1.2758333333299998,0.83375,0.0006355833333330001,0.890416666667,0.638333333333,2.7754999999970003,1.3126116110700001,1.3293433300532436
1275,0.7565,0.6423,0.4373,0.6814273828233336,0.012849999999999999,1.469,0.8094,0.0012884,0.9292,0.7345999999999999,3.3764000000000003,1.06759970315,1.0601610362440688
251,0.76,0.862692307692,0.7579230769230001,0.876310272535445,0.0172538461538,1.13846153846,0.185076923077,0.00768384615385,0.990538461538,0.569230769231,2.582230769235,1.4292994470200002,1.4232595976655316
1884,0.7592,0.6399,0.4495,0.7023643949930459,0.0128,1.429,0.7616,0.001973,0.9439,0.7145999999999999,3.4120999999999997,1.0432992252,1.0475604037667088
2469,0.7581,0.6245,0.4431,0.710375739080679,0.0125,1.413,0.7855,0.0014119000000000002,0.9285,0.7067,3.2977999999999996,1.0898830501299999,1.092980374306357
2454,0.7593333333329999,0.617111111111,0.452555555556,0.7330835117759463,0.012333333333299999,1.36888888889,0.7625555555560001,0.00193444444444,0.943777777778,0.6844444444439999,3.4473333333399996,1.04875842892,1.0247949690233098
315,0.759846153846,0.960384615385,0.757,0.7874165872245296,0.019192307692299997,1.26923076923,0.8957692307690001,0.00038310769230800003,0.816384615385,0.634076923077,2.6645384615400003,1.38189938369,1.3793501604257412
1815,0.7591538461540001,0.915153846154,0.7560769230769999,0.8259351620960209,0.0182923076923,1.21,0.233923076923,0.006850769230770001,0.9899230769230001,0.605307692308,2.5993846153859996,1.38991978384,1.402716164716907
215,0.7532,0.6246,0.4423,0.7085074060007596,0.012509999999999999,1.413,0.8088,0.0012247999999999998,0.9063,0.7064,3.2962000000000002,1.0973128716399998,1.080433420431026
99,0.758909090909,0.918363636364,0.665454545455,0.7238542890729562,0.018345454545500003,1.37909090909,0.734818181818,0.0013441818181800002,0.9602727272730001,0.6901818181819999,3.0575454545500005,1.1746705219700002,1.1860368855819876
1828,0.7574,0.6232,0.4406,0.7072867920924458,0.012470000000000002,1.4169999999999998,0.7591,0.0013985999999999998,0.9217,0.7086,3.2990000000000004,1.0943109414399999,1.0883742716705835
1306,0.7573,0.6027,0.4366,0.7252216748768473,0.01205,1.383,0.7361,0.0022199999999999998,0.9552,0.6909000000000001,3.3284,1.07066487364,1.0708438727036702
1768,0.76,0.9468333333329999,0.7545,0.7968586387396924,0.0189416666667,1.2566666666700002,0.7965833333329999,0.0006291666666669999,0.816083333333,0.627833333333,2.7705,1.3217865501200001,1.3303554379781826
1915,0.759818181818,0.902545454545,0.663454545455,0.7354877318957125,0.0180545454545,1.36,0.758909090909,0.00113509090909,0.950272727273,0.680363636364,3.00881818182,1.1990272615000002,1.2124808217998493
32,0.7555555555560001,0.626777777778,0.438333333333,0.6996225623801643,0.0125333333333,1.43,0.826,0.00122066666667,0.908666666667,0.714777777778,3.4367777777699997,1.0323394104899999,1.0258174754837064
1281,0.76,0.8323076923080001,0.756307692308,0.9081408140824071,0.0166461538462,1.10076923077,0.628384615385,0.00255076923077,0.977769230769,0.5502307692310001,2.685307692305,1.3717950392200002,1.3877042141177705
1569,0.76,0.606777777778,0.440333333333,0.7260482294151358,0.012133333333299998,1.37777777778,0.734555555556,0.00219222222222,0.951,0.689333333333,3.46588888889,1.0448465528200002,1.0187717311078617
1313,0.758,0.924090909091,0.665181818182,0.7191142191153846,0.0184818181818,1.39,0.577545454545,0.0021936363636399997,0.9772727272730001,0.695,3.042,1.18211628414,1.1825353037988329
1311,0.759,0.9606666666670001,0.754583333333,0.7855670103076586,0.0192166666667,1.27416666667,0.844916666667,0.000474441666667,0.832083333333,0.636583333333,2.781000000003,1.2990694688,1.3229376926953829
1852,0.7574,0.6179,0.4419,0.7142857142857143,0.01236,1.3980000000000001,0.6765,0.002625,0.9590000000000001,0.6993,3.3836,1.0539124413299998,1.0485897771413437
2257,0.759538461538,0.961769230769,0.756615384615,0.7863939105638181,0.0192461538462,1.27153846154,0.920615384615,0.00035944615384599993,0.821615384615,0.635615384615,2.64469230769,1.41009015738,1.3912657540008424
1770,0.7569,0.6512,0.4395,0.6745799853907962,0.013030000000000002,1.484,0.8186,0.001372,0.9279999999999999,0.7419,3.4114,1.0413927298999999,1.0483647187670528
214,0.76,0.941916666667,0.7566666666670001,0.8033560566338682,0.0188333333333,1.245,0.7925833333329999,0.00058725,0.7924166666670001,0.6225,2.75566666667,1.34375982476,1.3386080006551127
1795,0.7543,0.6143,0.4476,0.7285438765670202,0.01228,1.376,0.5794,0.003264,0.9697,0.688,3.3739,1.01916556688,1.0385478757194107
39,0.76,0.9444166666670001,0.757,0.8,0.0188916666667,1.2466666666700001,0.8225833333329999,0.00064025,0.806333333333,0.623666666667,2.77425,1.32227721775,1.3336217237397008
1540,0.76,0.6225555555560001,0.44577777777800004,0.7160585489998257,0.012433333333299998,1.40111111111,0.7602222222220001,0.00139655555556,0.9171111111110001,0.700222222222,3.458,1.0522974737100002,1.0205381234456297
1304,0.7593333333329999,0.9518333333329999,0.756583333333,0.7939646201877338,0.019033333333299998,1.2575,0.78175,0.000637333333333,0.8025833333329999,0.629,2.748916666667,1.33408964244,1.3381820852894446
1274,0.75925,0.869833333333,0.7550833333329999,0.8687500000002985,0.0173833333333,1.1525,0.66875,0.0019649999999999997,0.972166666667,0.576083333333,2.828749999997,1.32152253809,1.3143262153277533
1179,0.759615384615,0.9156923076919999,0.756307692308,0.8262817322055539,0.0183307692308,1.21076923077,0.164769230769,0.006916923076920001,0.989538461538,0.605307692308,2.5281538461529998,1.45380867292,1.4308924646558507
1561,0.76,0.773181818182,0.6709999999999999,0.8670398880313976,0.015463636363600002,1.1518181818200002,0.26672727272700003,0.004752727272729999,0.9840000000000001,0.5760000000000001,3.02518181818,1.23382826284,1.2022532367466492
91,0.7559999999999999,0.768090909091,0.667818181818,0.8700842696570573,0.015363636363600002,1.1509090909100002,0.273454545455,0.00532181818182,0.9865454545450001,0.575181818182,2.95809090909,1.21918849738,1.2241904069504101
2254,0.76,0.6277,0.4475,0.7133541253189679,0.012549999999999999,1.406,0.669,0.002508,0.9642,0.703,3.3049,1.09050452236,1.089332596328392
2437,0.76,0.918846153846,0.755846153846,0.821428571430644,0.0183692307692,1.2161538461499999,0.226307692308,0.00689461538462,0.9898461538459999,0.607923076923,2.558384615385,1.42953522969,1.4208295155949302
1297,0.758272727273,0.761363636364,0.672545454545,0.8852691218076906,0.0152181818182,1.1313636363600001,0.247818181818,0.005067272727270001,0.980727272727,0.566090909091,2.954,1.22069829467,1.2318399878177066
1748,0.7594545454549999,0.916636363636,0.664181818182,0.7245438493204103,0.0183272727273,1.38272727273,0.7395454545450001,0.00104436363636,0.947272727273,0.6913636363640001,3.0809090909100005,1.17524525222,1.1760359216760754
1917,0.7583333333329999,0.958083333333,0.755166666667,0.7879256965944272,0.0191666666667,1.26916666667,0.894833333333,0.00052575,0.915916666667,0.634333333333,2.758083333337,1.3139430717899998,1.336653942333494
1873,0.7553,0.9222,0.6588,0.7159383033419023,0.01844,1.4,0.5776,0.0018030000000000001,0.9709,0.7,3.2028,1.11026245449,1.101536511005774
259,0.759833333333,0.991333333333,0.757416666667,0.7630000000004741,0.019825,1.3091666666700001,0.91975,0.000312325,0.74225,0.654666666667,2.77491666667,1.33460364048,1.3289473228349873
1761,0.76,0.7869,0.5815,0.7399092970521542,0.01573,1.3519999999999999,0.7254,0.001541,0.9573,0.6765000000000001,3.2589,1.0834882893200002,1.102295029577954
340,0.7585,0.9390000000000001,0.75575,0.8032614413449695,0.018775,1.2433333333299998,0.79775,0.00066275,0.8178333333329999,0.6211666666669999,2.7521666666630002,1.34389065459,1.3359176074851025
2436,0.76,0.888363636364,0.663454545455,0.7466504263110597,0.0177727272727,1.34,0.642272727273,0.00189090909091,0.969909090909,0.6698181818180001,3.01509090909,1.20250932619,1.2057969583100667
1752,0.76,0.9606666666670001,0.755416666667,0.785824345146379,0.0192333333333,1.27416666667,0.814083333333,0.0005585833333330001,0.8118333333329999,0.636333333333,2.806249999997,1.29043305025,1.3133085535829878
1568,0.76,0.9342307692309999,0.755,0.8083333333327493,0.0186923076923,1.23846153846,0.202384615385,0.00724384615385,0.994538461538,0.6188461538460001,2.6642307692299996,1.3749530941499999,1.3710505079532505
1041,0.7596,0.6203,0.4515,0.7274549098196392,0.01241,1.379,0.7951,0.0016515999999999998,0.9357,0.6894,3.3667,1.04641614602,1.0633796917486609
1878,0.757166666667,0.9738333333329999,0.7529166666670001,0.7727042110624049,0.019491666666700002,1.29416666667,0.90125,0.000492833333333,0.9013333333329999,0.646833333333,2.780333333333,1.31434648767,1.3212055425452305
440,0.7587777777779999,0.646666666667,0.44577777777800004,0.6891091131966116,0.012933333333299999,1.46111111111,0.801666666667,0.00155477777778,0.937444444444,0.73,3.4435555555600006,1.03964030703,1.0363282807031413
1295,0.758769230769,0.921846153846,0.755846153846,0.8183603338273312,0.0184538461538,1.21923076923,0.764615384615,0.0006770769230769999,0.900230769231,0.6098461538459999,2.606000000003,1.4586242845800002,1.4053788739874284
12,0.76,0.909272727273,0.662090909091,0.7279193835169463,0.018181818181799998,1.37363636364,0.713909090909,0.00123836363636,0.958454545455,0.687,3.0410000000000004,1.1766157613600001,1.1944199793774661
1830,0.7597,0.8478,0.583,0.6870967741935484,0.01695,1.4569999999999999,0.6522,0.0020440000000000002,0.9688,0.7286,3.3287,1.07415083959,1.068143633913039
1914,0.76,0.8584,0.5822,0.6786703601108033,0.017169999999999998,1.474,0.6128,0.0020469999999999998,0.9732,0.7371,3.1987,1.0976680803799999,1.1225311160040223
318,0.7594,0.7833,0.583,0.7438543247344461,0.015659999999999997,1.3430000000000002,0.7525,0.001527,0.9554,0.6718999999999999,3.2051,1.1122945669700002,1.1265698155972736
1286,0.7597,0.6293,0.4501,0.715566037735849,0.012580000000000001,1.403,0.7093,0.002258,0.96,0.7016,3.2356999999999996,1.09712039609,1.121229905662711
1189,0.76,0.938384615385,0.755,0.8046760837807136,0.0187615384615,1.24153846154,0.8095384615379999,0.0005726923076919999,0.814923076923,0.621461538462,2.6503846153849997,1.38647060872,1.388264590332871
1512,0.7572,0.605,0.4404,0.7287703471268876,0.01209,1.375,0.6784,0.00266,0.9652,0.6877,3.3522,1.06446982456,1.0592814543237958
1187,0.754,0.6204,0.4496,0.7257972121443574,0.01242,1.381,0.6659,0.002425,0.9561,0.6904,3.3828000000000005,1.0429472997799998,1.0359228908971945
1271,0.754111111111,0.6265555555560001,0.44,0.70246367656539,0.012522222222200001,1.42555555556,0.696333333333,0.00243666666667,0.9536666666670001,0.713444444444,3.4439999999999995,1.0396144305500001,1.018630367975446
1157,0.76,0.9118181818179999,0.666545454545,0.7301775147958111,0.0182272727273,1.36909090909,0.6330909090910001,0.00204090909091,0.976909090909,0.684454545455,3.05845454545,1.17542220425,1.1843659250725582
1891,0.76,0.770272727273,0.674090909091,0.8749999999990342,0.0154181818182,1.14545454545,0.242181818182,0.004882727272729999,0.984363636364,0.5720000000000001,2.96354545455,1.2345132948100002,1.228731793492208
1791,0.76,0.8667,0.5814,0.6707934336525307,0.01733,1.492,0.6382,0.001609,0.9632,0.7459,3.1523,1.1138603844,1.142471579042409
449,0.759545454545,0.901090909091,0.661181818182,0.7336532693495311,0.0180090909091,1.36363636364,0.772363636364,0.00106481818182,0.9580909090909999,0.682090909091,2.9041818181799997,1.2452679969299998,1.2580030613422963
1194,0.7574545454549999,0.930636363636,0.657090909091,0.7060869565208188,0.0186090909091,1.4181818181799999,0.759181818182,0.00101281818182,0.954272727273,0.7086363636359999,3.12281818182,1.1695069312200002,1.149680628661945
1292,0.76,0.618666666667,0.441666666667,0.7140289671208373,0.0123777777778,1.40222222222,0.750888888889,0.0015498888888900002,0.931444444444,0.7006666666670001,3.4603333333299995,1.0267362781799998,1.019528063385091
364,0.76,0.8735,0.7545,0.8632236095365793,0.0174666666667,1.1575,0.705916666667,0.001385,0.950916666667,0.57875,2.8134166666700002,1.3250302403799998,1.3226330721986974
448,0.76,0.7803333333329999,0.6729999999999999,0.8621346886865001,0.015616666666699999,1.1608333333299998,0.327083333333,0.00498,0.988166666667,0.580083333333,2.807999999997,1.30440492095,1.3035256855518909
388,0.76,0.956333333333,0.7525,0.7858251422654646,0.0191416666667,1.27,0.7991666666670001,0.000584333333333,0.874583333333,0.635416666667,2.7749166666700003,1.3269862158499999,1.3286501751332376
1175,0.76,0.9725,0.756583333333,0.7772126144451214,0.019424999999999998,1.285,0.9113333333329999,0.000255908333333,0.7483333333329999,0.642083333333,2.767083333337,1.31851818953,1.3319411348079486
2497,0.76,0.9064615384620001,0.7570769230769999,0.8339204831442717,0.0181384615385,1.1961538461499999,0.743384615385,0.0009008461538460001,0.921307692308,0.5985384615379999,2.6579230769219997,1.39766588409,1.388466124631353
1547,0.7569166666670001,0.96525,0.749416666667,0.7758444216986199,0.019299999999999998,1.28833333333,0.178916666667,0.006772499999999999,0.994416666667,0.6440833333329999,2.76875,1.32286087977,1.3056574648198698
1543,0.76,0.6396,0.4443,0.695437616387337,0.012790000000000001,1.442,0.7056,0.002203,0.9544,0.7206999999999999,3.3491999999999997,1.07839579709,1.0735913732632991
1155,0.76,0.9267692307690001,0.757384615385,0.8152709359617585,0.0185384615385,1.22307692308,0.18330769230799998,0.0071,0.990461538462,0.611692307692,2.626999999995,1.39547593682,1.38860941033949
118,0.76,0.9205,0.6655,0.7215053763419355,0.0184083333333,1.38333333333,0.7016666666670001,0.00148333333333,0.9715,0.6920000000000001,2.856999999997,1.2617576537000001,1.2761171981176078
1743,0.76,0.950166666667,0.7569166666670001,0.7972902553396618,0.0190166666667,1.255,0.87075,0.0004965,0.89025,0.627583333333,2.778833333333,1.3214052685,1.333041319089333
1867,0.76,0.9315833333329999,0.7556666666670001,0.8105375199612784,0.0186333333333,1.23166666667,0.204916666667,0.006979166666670001,0.9940833333329999,0.616416666667,2.7542500000029997,1.30875888364,1.3329570665181312
54,0.76,0.95175,0.757416666667,0.7954190525763568,0.0190583333333,1.2575,0.824166666667,0.000507291666667,0.79175,0.62825,2.759416666667,1.30864483029,1.3371526566359457
1515,0.7591538461540001,0.966153846154,0.7550769230769999,0.7809254013237873,0.019323076923099997,1.28,0.922538461538,0.0003502538461540001,0.7982307692309999,0.64,2.622923076919,1.4178026041,1.3988140228399413
1557,0.7598,0.639,0.4414,0.6900753418286671,0.01278,1.452,0.7372,0.002194,0.9590000000000001,0.7253000000000001,3.3863000000000003,1.0655628045399999,1.0595763201538948
346,0.76,0.9401666666670001,0.7550833333329999,0.8026315789469528,0.018799999999999997,1.2458333333299998,0.871833333333,0.000476841666667,0.8290000000000001,0.6225,2.768833333337,1.3337122808,1.3365947925988055
18,0.759833333333,0.75425,0.67575,0.8960526315765893,0.015075,1.1164166666700002,0.311583333333,0.00520166666667,0.9885,0.558166666667,2.75433333333,1.32881571813,1.3299788677245683
1919,0.7583,0.6096,0.4493,0.7373559851591486,0.012199999999999999,1.36,0.7389,0.00203,0.9467,0.6796,3.3716999999999997,1.04994856957,1.0521896918601188
368,0.7526,0.6285,0.4445,0.7074367685919215,0.01256,1.416,0.7531,0.0014487999999999999,0.929,0.7077,3.2284999999999995,1.11794867894,1.1045441273719936
1178,0.759615384615,0.9692307692309999,0.756384615385,0.7798771846960603,0.0193692307692,1.28,0.929692307692,0.000371615384615,0.8356153846150001,0.640153846154,2.683846153845,1.38523270732,1.3723808376070388
98,0.7597777777779999,0.6134444444439999,0.439555555556,0.7166882276823522,0.012266666666700001,1.39666666667,0.776777777778,0.0014591111111099998,0.927222222222,0.698555555556,3.4202222222299996,1.03422135018,1.0395501170623351
1186,0.7554,0.6359,0.4417,0.6967014535967201,0.012709999999999999,1.443,0.7309,0.0019089999999999999,0.9534,0.7216,3.3455,1.05375275884,1.0656900633932338
1809,0.7555,0.8429,0.5781,0.6852528089887641,0.01684,1.4609999999999999,0.8116,0.0009880000000000002,0.9418,0.7302,3.16,1.1137474972299999,1.1368010506988895
1168,0.76,0.8214,0.5811,0.7082191780821918,0.01642,1.413,0.6472,0.0018329999999999998,0.9596,0.7070000000000001,3.3678,1.0583248681,1.050185988770503
1819,0.757833333333,0.946083333333,0.7550833333329999,0.7976004173208138,0.0189166666667,1.2541666666700002,0.81175,0.00054425,0.75325,0.626666666667,2.745250000003,1.32081546568,1.3366194133829419
1876,0.76,0.9345833333329999,0.7570833333329999,0.8095238095238095,0.018683333333300002,1.2358333333299998,0.8376666666670001,0.0007675,0.9225,0.6175,2.7609999999970003,1.32992660839,1.3408149729288392
2430,0.7592,0.6353,0.4444,0.7005803070011232,0.012709999999999999,1.435,0.7638,0.0013034000000000001,0.9175,0.7171,3.3760000000000003,1.06536811589,1.0595090571116543
1899,0.76,0.8433076923080001,0.7530769230769999,0.8931090613118174,0.0168615384615,1.12,0.716153846154,0.00166153846154,0.9625384615379999,0.56,2.713923076923,1.36041049933,1.3738532757361719
1294,0.76,0.8184,0.5819,0.7110949963741842,0.01636,1.4069999999999998,0.7416,0.0013027000000000002,0.9483,0.7033,3.3839,1.0468080439299998,1.0451103392890175
1871,0.76,0.846153846154,0.755846153846,0.8921832884137838,0.0169307692308,1.11846153846,0.664153846154,0.00159153846154,0.962692307692,0.5596923076920001,2.659923076926,1.39224395265,1.3959727915976485
219,0.7580769230769999,0.953076923077,0.755307692308,0.7908309455607492,0.0190538461538,1.26230769231,0.9222307692309999,0.000395384615385,0.858230769231,0.630923076923,2.651076923081,1.4196778825,1.3851527496358056
1298,0.7594444444439999,0.616666666667,0.435555555556,0.7065554486150144,0.012333333333299999,1.42,0.639111111111,0.0028944444444400004,0.9647777777779999,0.709333333333,3.45366666666,1.0537782656999999,1.0221348125145164
1282,0.76,0.9970833333329999,0.756583333333,0.7570456754110787,0.019950000000000002,1.3166666666700002,0.906416666667,0.000351633333333,0.828916666667,0.659,2.816,1.31581581905,1.3110256042723027
1161,0.76,0.636666666667,0.46155555555600003,0.7255717255713873,0.012733333333299998,1.38111111111,0.713111111111,0.0021255555555600002,0.950444444444,0.690777777778,3.4356666666700004,1.0457794168,1.0300423542180774
242,0.76,0.9329999999999999,0.7576666666670001,0.8098778544836752,0.01865,1.23,0.746416666667,0.0008061666666669999,0.904833333333,0.615666666667,2.794583333337,1.3211823021,1.3226501239337012
1316,0.7599,0.6306,0.4522,0.7173421300659755,0.01261,1.3980000000000001,0.7858,0.0016855000000000001,0.9393,0.6995,3.2573999999999996,1.09739983618,1.1152811648036367
1300,0.7529,0.6318,0.44299999999999995,0.7013400805922594,0.01264,1.4269999999999998,0.6715,0.0018030000000000001,0.9485,0.7140000000000001,3.3924,1.03710131293,1.0331234384620702
1861,0.76,0.6254,0.4403,0.7046725428869302,0.012509999999999999,1.4240000000000002,0.7044,0.001997,0.9542,0.7121,3.3468999999999998,1.0688870404100002,1.0738021862551526
165,0.7593,0.8026,0.5814,0.72375,0.01605,1.381,0.7032,0.00141,0.9533,0.6903,3.2156,1.12079385134,1.1159987343778983
