,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
546,0.76,0.7463636363639999,0.742454545455,0.9951151430516503,0.014945454545500001,1.0071818181799999,0.9179090909090001,0.000834,0.9371818181820001,0.502636363636,0.756272727273,1.9998789101599996,2.109429673490819
760,0.76,0.7882,0.7584,0.9630177514792899,0.015780000000000002,1.042,0.51,0.007012000000000001,0.9954,0.5197999999999999,0.851,2.1999353087799998,2.100190761281457
42,0.7599,0.7533,0.7388,0.9801375095492743,0.01506,1.0203,0.504,0.00636,0.9952,0.5097999999999999,0.7655,1.9762378600200001,1.9535693869024335
46,0.7577777777779999,0.829555555556,0.7562222222220001,0.9131759329756945,0.0165777777778,1.09555555556,0.441444444444,0.007201111111109999,0.996888888889,0.548444444444,0.7814444444449999,1.88271079521,1.9719844787025753
768,0.7588,0.7576,0.736,0.969558599695586,0.01516,1.0316,0.8029999999999999,0.002652,0.988,0.5152,0.9044000000000001,2.1570952352,2.013281907162291
841,0.7595714285709999,0.7464285714290001,0.6970000000000001,0.9327548806950821,0.0149285714286,1.07428571429,0.898142857143,0.00149,0.979285714286,0.537285714286,0.949285714286,1.60639005076,1.7503669648677302
686,0.752875,0.74975,0.721125,0.960952380952381,0.015,1.04,0.807625,0.002585,0.98925,0.520875,0.806125,1.9893285644799998,2.0017789159364483
844,0.753111111111,0.804222222222,0.716555555556,0.8897763578297841,0.016088888888899998,1.12111111111,0.9657777777779999,0.000413888888889,0.944555555556,0.560888888889,0.837666666666,1.86572822822,1.8873890530283166
467,0.76,0.8785,0.759071428571,0.8645881805472313,0.0175928571429,1.1585714285700002,0.848857142857,0.00138428571429,0.9865,0.5787142857140001,0.731785714286,1.9180385408,1.9325807063529385
688,0.75375,0.77225,0.7290000000000001,0.9441340782122905,0.0154375,1.06,0.3915,0.00850875,0.996875,0.529625,0.789,2.0130011636400003,1.9396205334435024
715,0.7576666666670001,0.697166666667,0.639,0.9173553719008265,0.0139666666667,1.09333333333,0.9431666666670001,0.000635166666667,0.928833333333,0.5465,0.9735,1.34583239525,1.3189262358156402
393,0.76,0.782666666667,0.7356666666670001,0.9381188118763908,0.0156666666667,1.06333333333,0.919666666667,0.0008820000000000001,0.905,0.532,0.9146666666659999,2.05696984825,1.9227042066751991
681,0.7562,0.7046,0.6308,0.8931034482758621,0.014080000000000002,1.1179999999999999,0.9426,0.0006448,0.9044,0.5596,0.9604,1.41151085359,1.3277626393679363
810,0.76,0.841166666667,0.759833333333,0.9024110218119348,0.016816666666699998,1.105,0.9485,0.000413833333333,0.920833333333,0.553666666667,0.847833333333,2.06367192254,2.0697036092075063
228,0.76,0.7859230769230001,0.7409230769230001,0.9428891377319628,0.0157307692308,1.06023076923,0.8170000000000001,0.00260384615385,0.991307692308,0.530307692308,0.7320769230770001,2.0797222899200003,2.0100400838114503
259,0.76,0.7816,0.745533333333,0.9529126213639634,0.0156333333333,1.0490000000000002,0.9290666666670001,0.0008131999999999999,0.9449333333329999,0.524133333333,0.7198666666669999,2.10280234561,2.0853530928208635
14,0.7586,0.7556,0.7428,0.9838833461243285,0.015109999999999998,1.0176,0.5772,0.006205,0.9958,0.5088,0.7676,2.18055127853,2.1177681401757305
463,0.7598,0.812,0.7586,0.93421675342893,0.01624,1.0706666666700002,0.536533333333,0.0058793333333299995,0.996466666667,0.535133333333,0.7058,1.9977614104900003,2.0087238452888982
49,0.7591428571430001,0.778714285714,0.666714285714,0.8547368421070627,0.015571428571399999,1.17,0.900285714286,0.001051,0.9741428571430001,0.585,0.902714285715,1.47039625958,1.4811057740875473
769,0.759,0.684,0.657333333333,0.9602272727328417,0.0137,1.04,0.930666666667,0.0009436666666669999,0.938333333333,0.520666666667,0.9969999999999999,1.5068143453999998,1.4334778018719696
620,0.7598571428569999,0.903142857143,0.759428571429,0.8408051235143268,0.018057142857099997,1.18857142857,0.9674285714290001,0.00021,0.862714285714,0.5947142857140001,0.832714285714,1.9152264354,2.0153972439321635
121,0.7571428571430001,0.785142857143,0.739214285714,0.9421786267423256,0.015700000000000002,1.06214285714,0.8117142857140001,0.00244357142857,0.990071428571,0.531142857143,0.738214285714,2.04983438226,2.0437327558249176
628,0.76,0.75225,0.7405,0.9839167455061495,0.01505,1.015,0.91725,0.0007804999999999999,0.9005,0.50775,0.8085,2.0333538149400003,2.060692403101193
45,0.7524285714290001,0.694571428571,0.635571428571,0.9162707838434293,0.0139,1.09428571429,0.9392857142859999,0.000677714285714,0.925142857143,0.547428571429,0.9574285714280001,1.34609885753,1.3959219980987267
